k,scope,metric,bin_count,matched_count,mismatch_pair_count,matched_mean,matched_median,mismatch_mean,mismatch_median,mean_diff_vs_mismatch_mean,median_diff_vs_mismatch_mean,bootstrap95_diff_low,bootstrap95_diff_high,locations_matched_gt_mismatch_mean,locations_total,sign_test_p,sign_flip_p,matched_top1_count,matched_top1_rate,matched_top3_count,matched_top3_rate,median_matched_rank,significant_positive
2,full,mag_cosine,5,15,210,0.9586606016676363,0.9583392387859221,0.9588841504029746,0.9599973769527272,-0.00022354873533819337,-0.0015326139164796304,-0.0028934145597654024,0.0029439851019791297,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,8,False
2,full,rel_db_pearson,5,15,210,0.9546619559548335,0.9613279126753069,0.9585221596348826,0.9657538258537051,-0.0038602036800491715,-0.0024570180918451756,-0.009545891763897663,0.0013127782891742582,6,15,0.84912109375,1.0,1,0.06666666666666667,2,0.13333333333333333,10,False
2,side,mag_cosine,4,15,210,0.8640328095330938,0.8717288669419853,0.8651299407760307,0.870904610507411,-0.0010971312429369552,-0.00012684167993448625,-0.015601807492181867,0.015463970033699807,7,15,0.696380615234375,1.0,1,0.06666666666666667,3,0.2,8,False
2,side,rel_db_pearson,4,15,210,0.6643516568067451,0.7033085704112637,0.6723408178279666,0.7341756790626283,-0.007989161021221472,0.0030779709536907784,-0.029680978580977232,0.013508467474370274,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,7,False
3,full,mag_cosine,7,15,210,0.9562454877869762,0.9559327429446783,0.9564472804073942,0.9580142120100807,-0.0002017926204180176,-0.0016389022601899228,-0.0030440524900986108,0.003171132338986397,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,8,False
3,full,rel_db_pearson,7,15,210,0.9367713454907306,0.9380336555698083,0.9391984464602391,0.9428656149070602,-0.0024271009695085183,-0.00039451791408273706,-0.00513861914119275,0.00013683540755092446,7,15,0.696380615234375,1.0,0,0.0,0,0.0,8,False
3,side,mag_cosine,6,15,210,0.8664965565402595,0.8755286489340128,0.8675547889026808,0.8743252815227605,-0.0010582323624213,0.0005291056500189573,-0.015910357880549477,0.015549539166704289,9,15,0.303619384765625,0.5000499950005,1,0.06666666666666667,3,0.2,8,False
3,side,rel_db_pearson,6,15,210,0.7837364928799975,0.8051572500046508,0.7866190878957324,0.7904447528463234,-0.0028825950157349346,0.0009380111926177159,-0.021798082127380748,0.01812570971848298,8,15,0.5,1.0,1,0.06666666666666667,4,0.26666666666666666,8,False
4,full,mag_cosine,9,15,210,0.9540953171871337,0.9546581076059029,0.954286822775321,0.9563161338122246,-0.00019150558818723518,-0.0017134367863963496,-0.0031800865887186445,0.003260052722154727,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,8,False
4,full,rel_db_pearson,9,15,210,0.9407957370164043,0.9445270674041473,0.9426549629608627,0.9448857921431976,-0.0018592259444584424,-0.001744633500426973,-0.004333062823698438,0.0005244000986321274,6,15,0.84912109375,1.0,0,0.0,1,0.06666666666666667,9,False
4,side,mag_cosine,8,15,210,0.8653468848184608,0.8748389830538654,0.8663168032808609,0.8713513052075637,-0.0009699184624000582,0.0010625757880552422,-0.01679544556566544,0.016015767576742078,9,15,0.303619384765625,0.5000499950005,1,0.06666666666666667,3,0.2,6,False
4,side,rel_db_pearson,8,15,210,0.8413133009078162,0.8461146080444307,0.8439969388489575,0.8363977390384292,-0.0026836379411412517,0.0011749511940502,-0.017880277386658976,0.013061464602316986,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,8,False
6,full,mag_cosine,13,15,210,0.9522164997470498,0.9530951630596335,0.9523982472737338,0.954758518994746,-0.00018174752668395449,-0.0017876836225328985,-0.003264783454565164,0.0033899587416149107,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,8,False
6,full,rel_db_pearson,13,15,210,0.9403903361122069,0.9406787774574602,0.9414471180960947,0.9434034990173168,-0.001056781983887826,-0.001411717755196884,-0.004476286614058656,0.002476929820742502,6,15,0.84912109375,1.0,0,0.0,3,0.2,9,False
6,side,mag_cosine,12,15,210,0.8657109771819353,0.8760970146766595,0.8666541536059291,0.8728059564840167,-0.0009431764239937523,0.0015215305124413048,-0.01713505235293406,0.016229977907810007,9,15,0.303619384765625,0.5000499950005,1,0.06666666666666667,3,0.2,7,False
6,side,rel_db_pearson,12,15,210,0.8991341114351151,0.9013317568656125,0.9008311242284399,0.897812626741754,-0.0016970127933248222,0.0008918350681988985,-0.012277498282847136,0.009079735888771593,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,8,False
8,full,mag_cosine,17,15,210,0.951095909489867,0.9522203606506994,0.9512742018558334,0.9538864310568883,-0.00017829236596644815,-0.0018297411046565015,-0.0032899041140708627,0.003559380094281317,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,8,False
8,full,rel_db_pearson,17,15,210,0.9425392531340547,0.9435603676787648,0.9430727110759768,0.9438974020068001,-0.0005334579419220775,-0.0012531981291560301,-0.004765767255159388,0.003958977221037219,6,15,0.84912109375,0.5000499950005,1,0.06666666666666667,3,0.2,8,False
8,side,mag_cosine,16,15,210,0.8655525948526043,0.8766975263505338,0.8664880999234705,0.8715269893952542,-0.000935505070866216,0.0016063889441613188,-0.016959791273477725,0.01678123028500502,9,15,0.303619384765625,0.5000499950005,1,0.06666666666666667,3,0.2,8,False
8,side,rel_db_pearson,16,15,210,0.9260627010073946,0.9306830678975999,0.9273068172856102,0.9271856205458993,-0.0012441162782155975,0.001314231431273405,-0.00907061391634576,0.006873892470533797,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,8,False
