file_name,experiment_id,corridor_id,location_id,position_key,packet_index,sample_start,detect_score_db,detect_peak_bin_mean,detect_peak_bin_std,peak_mean,peak_iqr,raw_bin_-2,raw_bin_-1,raw_bin_+0,raw_bin_+1,raw_bin_+2,E0,C_peak,R_side,R_asym,S_L,S_R
2_0_33_11_2_16_aug00.bin,2,0,33,0_33,0,18144,9.11238558956,2001.0,-0.0,91.8904808489,0.0143271424572,9.29311377558,23.6802679071,91.8904808489,9.88889957193,5.04383033251,4.52059744237429,0.657315598668504,-0.6513543555510781,-0.792145178549038,68.2102129418,82.00158127697
2_0_33_11_2_16_aug01.bin,2,0,33,0_33,0,18144,8.7311171233,2001.0,-0.0,69.6718245056,0.0233482832279,8.71390222525,21.2057146732,69.6718245056,7.80908018818,4.43280699546,4.243795996521739,0.6229969668744034,-0.5022884173535718,-0.8936509019587213,48.4661098324,61.86274431742
2_0_33_11_2_16_aug02.bin,2,0,33,0_33,0,18144,8.61161631387,2001.0,-0.0,65.3144932341,0.0137928964233,5.70406419554,21.833309453,65.3144932341,4.48252272051,5.63838121638,4.17921396011031,0.634288974787029,-0.5506611738424909,-1.000941142078719,43.4811837811,60.83197051359
2_0_33_11_2_16_aug03.bin,2,0,33,0_33,0,18144,8.62058301542,2001.0,-0.0,68.408895956,0.0136108360592,7.76220892842,21.9368537863,68.408895956,5.59645237198,1.15242890456,4.225502874007989,0.6524027997640123,-0.6296178234196343,-1.4817387325439388,46.472042169699996,62.812443584019995
2_0_33_11_2_16_aug04.bin,2,0,33,0_33,0,18144,8.63523974486,2001.0,-0.0,54.8645655739,0.0237626427301,7.22917799347,20.0133647653,54.8645655739,6.06596545841,1.7253328538,4.004867704319753,0.610295194559203,-0.448553222222891,-1.2517723134779108,34.8512008086,48.798600115490004
2_0_33_11_2_16_aug05.bin,2,0,33,0_33,0,18144,8.71523755248,2001.0,-0.0,70.8437912898,0.0222032206314,8.57348834524,19.7702623266,70.8437912898,6.85464374808,0.482968310262,4.26047733053676,0.6650428430876566,-0.6858488304437793,-1.3513931139752713,51.07352896319999,63.989147541719994
2_0_33_11_2_16_aug06.bin,2,0,33,0_33,0,18144,8.48487412309,2001.0,-0.0,71.6785386937,0.0245973602188,10.2011480453,22.1163044313,71.6785386937,6.24568776703,5.65749938065,4.2721913819312585,0.6184559695241562,-0.4829997420140543,-0.998801216864631,49.562234262400004,65.43285092667
2_0_33_11_2_16_aug07.bin,2,0,33,0_33,0,18144,9.08325193454,2001.0,-0.0,61.49028178,0.0239344468971,9.70902076352,21.07592783,61.49028178,5.50459463906,0.796431301494,4.11887914248864,0.6237839017144765,-0.5056402892558789,-1.586313420660631,40.41435394999999,55.985687140939994
2_0_33_11_2_16_aug08.bin,2,0,33,0_33,0,18144,8.84533495446,2001.0,-0.0,71.5630243141,0.0229121802832,10.7503661647,21.0978087138,71.5630243141,5.09581752932,1e-12,4.270578520381646,0.6595243927634581,-0.6611754732745617,-1.8325599657376859,50.465215600300006,66.46720678478
2_0_33_11_2_16_aug09.bin,2,0,33,0_33,0,18144,7.99243318412,2001.0,-0.0,83.4348391711,0.0139425613215,7.03393095711,26.3814419623,83.4348391711,7.61101116612,2.14590502224,4.424065958001886,0.6590058577691011,-0.6588671244112737,-1.2310396749500134,57.05339720879999,75.82382800498
2_0_33_11_2_16_aug00.bin,2,0,33,0_33,1,2518768,8.58063885752,2005.0,-0.0,51.1358049033,0.206822418945,7.06233946803,18.2272923145,51.1358049033,3.47173926261,2.51273695418,3.934484934885065,0.6205055084055751,-0.4916944001435913,-1.4412256815821471,32.908512588799994,47.66406564069
2_0_33_11_2_16_aug01.bin,2,0,33,0_33,1,2518768,8.78627776639,2005.0,-0.0,45.7062911834,0.211008088126,9.6352171668,19.7195007632,45.7062911834,6.21509991834,3.14199666577,3.822235951082002,0.5414275860107061,-0.1660911130337767,-1.1433182321806377,25.9867904202,39.491191265059996
2_0_33_11_2_16_aug02.bin,2,0,33,0_33,1,2518768,9.37786618967,2005.0,-0.0,70.8725679649,0.202969408081,8.28729920856,16.8313339053,70.8725679649,7.82115446285,2.50767016293,4.260883447030958,0.6665966029941712,-0.692831910597847,-0.8886714318007708,54.0412340596,63.051413502049996
2_0_33_11_2_16_aug03.bin,2,0,33,0_33,1,2518768,8.2828138611,2005.0,-0.0,58.2928194796,0.208520867936,6.33931332537,17.7104845588,58.2928194796,5.21792591999,2.10991473463,4.065478920755593,0.6500783063653407,-0.6193834299856911,-1.1884457101261408,40.582334920799994,53.07489355961
2_0_33_11_2_16_aug04.bin,2,0,33,0_33,1,2518768,8.73206566354,2005.0,-0.0,63.0082894634,0.204892948111,7.64158678108,19.7340567374,63.0082894634,0.498689338388,2.03778036101,4.143266296519947,0.6780888550334975,-0.7450027738202365,-2.3788804632627953,43.274232725999994,62.509600125012
2_0_33_11_2_16_aug05.bin,2,0,33,0_33,1,2518768,9.51893344681,2005.0,-0.0,64.0373057434,0.208669443235,8.90739602405,17.1117209155,64.0373057434,1.12602924879,4.73512440615,4.159465815778791,0.6676284804967793,-0.6974784739853018,-1.4904850810944728,46.925584827899996,62.91127649461
2_0_33_11_2_16_aug06.bin,2,0,33,0_33,1,2518768,8.82145538178,2005.0,-0.0,57.5589168816,0.199496805021,8.55906815446,18.3456123137,57.5589168816,5.88660383917,5.80917471708,4.0528090646357455,0.598578311675606,-0.3995448964115481,-0.8330722970322111,39.213304567899996,51.67231304243
2_0_33_11_2_16_aug07.bin,2,0,33,0_33,1,2518768,9.14273810163,2005.0,-0.0,53.5284356117,0.209277182739,9.92858422839,18.5669860848,53.5284356117,5.13237154291,7.3861343551,3.980213019463039,0.5661837683345096,-0.2662976894559058,-0.822540626256018,34.9614495269,48.39606406879
2_0_33_11_2_16_aug08.bin,2,0,33,0_33,1,2518768,8.4545971315,2005.0,-0.0,47.7265472475,0.206998817626,7.39800649745,16.9399157936,47.7265472475,4.8669133322,5.04575596147,3.8654877891491735,0.5821933764385194,-0.33178395204350947,-0.8982220563816136,30.7866314539,42.8596339153
2_0_33_11_2_16_aug09.bin,2,0,33,0_33,1,2518768,8.70416577731,2005.0,-0.0,64.0523464664,0.210120455633,9.64200664863,19.3919468363,64.0523464664,5.61132181779,2.05720702758,4.159700662588188,0.6357248305750409,-0.5568562713872185,-1.3313411643065487,44.660399630099995,58.44102464861
2_0_33_11_2_16_aug00.bin,2,0,33,0_33,2,5023536,5.43594430771,1041.9999999999998,-0.0,115.905138739,0.0448666463222,15.9825947327,10.8736016289,115.905138739,15.4191370443,34.0815074664,4.7527720870591175,0.6028500225230553,-0.4173544605568582,0.6114891186097368,105.03153711009999,100.4860016947
2_0_33_11_2_16_aug01.bin,2,0,33,0_33,2,5023536,6.25198632083,1041.9999999999998,-0.0,108.776026772,0.0385003069378,18.6772784292,9.39800182729,108.776026772,17.0544763327,38.371419744,4.6892909679738315,0.5657250314406269,-0.26443024839360735,0.6801574397491854,99.37802494470999,91.72155043929999
2_0_33_11_2_16_aug02.bin,2,0,33,0_33,2,5023536,6.27725447358,1041.9999999999998,-0.0,121.622430443,0.044362134757,19.5532359687,12.0154173539,121.622430443,14.1464190591,39.21641217,4.800921413401193,0.5888168735321243,-0.3590765460528592,0.524949814426269,109.6070130891,107.4760113839
2_0_33_11_2_16_aug03.bin,2,0,33,0_33,2,5023536,6.10122351673,1041.9999999999998,-0.0,118.569003897,0.0429837014509,20.7145525342,12.3531370897,118.569003897,14.0981129922,35.5425320801,4.775495102464808,0.5890827289635336,-0.360174723213466,0.40625329391117837,106.2158668073,104.4708909048
2_0_33_11_2_16_aug04.bin,2,0,33,0_33,2,5023536,6.48144845531,1041.9999999999998,-0.0,122.437976751,0.0378946534382,18.1485433786,11.6855074716,122.437976751,16.4006574502,37.6952439891,4.807604589528733,0.5932994400838844,-0.377622039890003,0.59510803683657,110.75246927939999,106.0373193008
2_0_33_11_2_16_aug05.bin,2,0,33,0_33,2,5023536,6.41253629381,1041.9999999999998,-0.0,118.053692399,0.0437003001444,19.332309557,13.6633356471,118.053692399,14.5306422352,34.2129227269,4.771139541305823,0.5908803109783843,-0.3676057259738885,0.39019759870713233,104.3903567519,103.5230501638
2_0_33_11_2_16_aug06.bin,2,0,33,0_33,2,5023536,6.49530400673,1041.9999999999998,-0.0,105.265573263,0.0339495203649,18.4994942532,9.43277712811,105.265573263,14.7054198871,38.1303872915,4.656486426110896,0.5658415680793296,-0.26490460597133697,0.6374064264010237,95.83279613488999,90.5601533759
2_0_33_11_2_16_aug07.bin,2,0,33,0_33,2,5023536,6.76348050431,1041.9999999999998,-0.0,129.720249229,0.0409619258396,18.6618729835,11.4848321691,129.720249229,15.3438734468,40.006351033,4.865380202721584,0.6027411469441263,-0.41689973815582715,0.6076050794246632,118.23541705989999,114.37637578219999
