location_id,corridor_id,position_key,state,distance_m,is_reference_point_32,structure_type,mean_peak_count,std_peak_count,fraction_segments_2plus,stable_secondary_path_count,total_stable_path_count_including_main,strong_secondary_path_count_40pct,stable_path_occupancy_sum,raw_secondary_peak_mean,unstable_secondary_peak_load,stable_detection_explained_fraction,secondary_effective_power_sum,main_effective_power_fraction,effective_path_number,entropy_effective_path_number,equivalent_mean_delay_us,equivalent_rms_delay_us,mean_abs_stable_delay_us,max_abs_stable_delay_us,stable_delay_span_us,precursor_path_count,postcursor_path_count,precursor_effective_power,postcursor_effective_power,post_to_precursor_power_ratio,reference_like_stable_path_count,nonreference_delay_path_count,reference_like_path_fraction,strongest_secondary_delay_us,strongest_secondary_amplitude_db,strongest_secondary_recurrence,stable_equivalent_paths
34,0,0_34,LOS,7.89,False,moderate_stable,1.62,0.6321360293449184,0.54,2,3,0,0.54,0.6200000000000001,0.08000000000000007,0.8709677419354838,0.008392647252554602,0.9916772030464314,1.0168100130130795,1.0541149147021778,0.00035552538724655663,0.010700792411821518,0.1154356903601395,0.1534138989765384,0.2570528557039994,1,1,0.0019890695928080713,0.006403577659746531,3.219383415693502,2,0,1.0,0.103638956727461,-15.36,0.22,+0.104us/-15.4dB/22%;-0.153us/-22.1dB/32%
36,0,0_36,OLOS,14.67,False,moderate_stable,2.04,0.5108914767444266,0.9,1,2,1,0.63,1.04,0.41000000000000003,0.6057692307692307,0.03840082452613065,0.9630192661454648,1.0766885623095737,1.1714321785527397,0.0042360704640158325,0.021616874487343337,0.1145480368420635,0.1145480368420635,0.1145480368420635,0,1,0.0,0.03840082452613065,38400824526.13065,1,0,1.0,0.1145480368420635,-12.15,0.63,+0.115us/-12.2dB/63%
38,0,0_38,OLOS,21.45,False,moderate_stable,1.3,0.4605661864718382,0.3,1,2,0,0.3,0.30000000000000004,5.551115123125783e-17,0.9999999999999998,0.0018690514422871932,0.9981344353939304,1.0037380898261061,1.0136801167253604,0.0002533875754291018,0.00586104004374824,0.1358235327818268,0.1358235327818268,0.1358235327818268,0,1,0.0,0.0018690514422871932,1869051442.2871933,1,0,1.0,0.1358235327818268,-22.055,0.3,+0.136us/-22.1dB/30%
40,0,0_40,OLOS,28.23,False,moderate_stable,1.94,0.7630348761506398,0.68,2,3,2,0.94,0.94,0.0,1.0,0.00633671023361903,0.9937031908215411,1.0126931843719549,1.0434608803476448,-9.14046886779382e-05,0.012673602430470844,0.15960480603687263,0.1652778287288709,0.3185682382727792,1,1,0.003337874504821531,0.002998835728797499,0.8984267456627583,2,0,1.0,-0.1652778287288709,-21.755,0.5,-0.165us/-21.8dB/50%;+0.153us/-21.7dB/44%
42,0,0_42,OLOS,35.01,False,moderate_stable,1.64,0.8350890595461884,0.45,1,2,0,0.36,0.6399999999999999,0.2799999999999999,0.5625000000000001,0.00205259138021069,0.9979516131210403,1.0041051654648203,1.0148362218062974,0.0002933439782981153,0.006474793575990608,0.1432073117198974,0.1432073117198974,0.1432073117198974,0,1,0.0,0.00205259138021069,2052591380.21069,1,0,1.0,0.1432073117198974,-22.44,0.36,+0.143us/-22.4dB/36%
44,0,0_44,OLOS,41.79,False,rich_stable,5.5,1.845004174531972,1.0,6,7,5,3.14,4.5,1.3599999999999999,0.6977777777777778,0.030994385737849052,0.9699373865012196,1.0626065947000671,1.1927832537175354,0.0017140409255255549,0.0429516582513793,0.21854646270471073,0.5572064240411461,1.0472293638346857,3,3,0.0093307959947881,0.021663589743060957,2.321730081245114,4,2,0.6666666666666666,0.1393374405044963,-16.645,0.75,+0.139us/-16.6dB/75%;-0.183us/-19.8dB/56%;+0.319us/-22.2dB/63%;-0.361us/-23.4dB/55%;+0.490us/-23.9dB/40%;-0.557us/-24.3dB/25%
16,1,1_16,OLOS,55.24,False,near_single_path,1.1,0.3015113445777636,0.1,0,1,0,0.0,0.10000000000000009,0.10000000000000009,0.0,0.0,1.0,1.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,,,0.0,
18,1,1_18,OLOS,48.46,False,moderate_stable,1.25,0.4351941398892446,0.25,1,2,0,0.25,0.25,0.0,1.0,0.0010812845775875221,0.9989198833359033,1.0021625666267533,1.0084933365889528,0.00016201749961449586,0.004927106176245144,0.15,0.15,0.15,0,1,0.0,0.0010812845775875221,1081284577.5875223,1,0,1.0,0.15,-23.64,0.25,+0.150us/-23.6dB/25%
20,1,1_20,OLOS,41.68,False,moderate_stable,1.28,0.4512608598542128,0.28,1,2,0,0.28,0.28,0.0,1.0,0.001141978772959555,0.9988593238549848,1.0022839545673787,1.0089088495001124,0.00021431858783939393,0.006342066964572937,0.187887323475632,0.187887323475632,0.187887323475632,0,1,0.0,0.001141978772959555,1141978772.959555,1,0,1.0,0.187887323475632,-23.895000000000003,0.28,+0.188us/-23.9dB/28%
22,1,1_22,OLOS,34.9,False,moderate_stable,1.51,0.5411361037930132,0.49,1,2,1,0.43,0.51,0.08000000000000002,0.8431372549019608,0.005388507052248089,0.9946403733338399,1.0107767011921114,1.0339330038046937,0.0008483128021566918,0.01155637945028839,0.1582783382120288,0.1582783382120288,0.1582783382120288,0,1,0.0,0.005388507052248089,5388507052.24809,1,0,1.0,0.1582783382120288,-19.02,0.43,+0.158us/-19.0dB/43%
