k,scope,metric,subbin_count,matched_count,mismatch_pair_count,matched_mean,matched_median,mismatch_mean,mismatch_median,mean_diff_vs_mismatch_mean,median_diff_vs_mismatch_mean,bootstrap95_diff_low,bootstrap95_diff_high,locations_matched_gt_mismatch_mean,locations_total,sign_test_p,sign_flip_p,matched_top1_count,matched_top1_rate,matched_top3_count,matched_top3_rate,median_matched_rank,significant_positive
0.5,full,mag_norm_cosine,5,15,210,0.9976425091922261,0.998036697764211,0.9977320839974247,0.9985972595741759,-8.957480519857045e-05,5.860887238251511e-05,-0.0003881109960573559,0.00012937546425704217,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,10,False
0.5,full,rel_peak_db_pearson,5,15,210,0.9207625509138221,0.9178436440960739,0.9241026727499894,0.9495601034992609,-0.003340121836167261,0.0022955369916574098,-0.015686751881141468,0.005409376016017283,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,10,False
0.5,side,mag_norm_cosine,4,15,210,0.9968861208782782,0.9973050782843049,0.997010655187068,0.9982505423222593,-0.0001245343087897514,8.26124474255785e-05,-0.0005413017998901371,0.00018399544780460056,8,15,0.5,1.0,1,0.06666666666666667,4,0.26666666666666666,10,False
0.5,side,rel_peak_db_pearson,4,15,210,0.889661686676841,0.8840410989979421,0.8946318963739369,0.9264684293012768,-0.00497020969709591,0.0031427420304478426,-0.022374283790051797,0.007496096265118335,8,15,0.5,1.0,1,0.06666666666666667,3,0.2,10,False
1.0,full,mag_norm_cosine,9,15,210,0.9841753863959449,0.984678681129682,0.9844124942527046,0.9845227249477086,-0.00023710785675968478,-0.00045734349872383895,-0.000939718304222977,0.0005431003993109066,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,8,False
1.0,full,rel_peak_db_pearson,9,15,210,0.8904754233523865,0.889664698851186,0.8934841977261972,0.894348418219959,-0.003008774373810841,-0.003463700275925685,-0.008912154754357922,0.0032378666192933283,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,9,False
1.0,side,mag_norm_cosine,8,15,210,0.9793062848028559,0.9802525478704139,0.9796245177068049,0.9796756306695918,-0.00031823290394915235,-0.0006094369633758978,-0.0012665914927376379,0.0006993887018905909,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,8,False
1.0,side,rel_peak_db_pearson,8,15,210,0.8841316634509464,0.8847050208676566,0.8876727548585343,0.8878951923817131,-0.003541091407587856,-0.0038167919170736253,-0.009223302885020549,0.0021720210116026317,5,15,0.940765380859375,1.0,1,0.06666666666666667,3,0.2,9,False
1.5,full,mag_norm_cosine,13,15,210,0.9827063405063139,0.9836775436900845,0.9828996180781219,0.9838630370340713,-0.00019327757180789273,-0.00027452305253894416,-0.0009018212520376897,0.0005619001497455534,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,8,False
1.5,full,rel_peak_db_pearson,13,15,210,0.7398116474257926,0.7315657675616449,0.7427248516551389,0.7558949955628871,-0.0029132042293462373,-0.01192596974303628,-0.02635756268130433,0.022979476879041796,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,9,False
1.5,side,mag_norm_cosine,12,15,210,0.977592839341831,0.9788687801833397,0.9778487445269474,0.9789518153818396,-0.0002559051851163785,-0.00034812663504812935,-0.0011489251044036234,0.0007234474248940377,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,8,False
1.5,side,rel_peak_db_pearson,12,15,210,0.7111811812631469,0.6959174406065649,0.7146637802493632,0.7320604843674592,-0.003482598986216308,-0.013108866575037736,-0.026861825992741842,0.0234526656272245,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,9,False
2.0,full,mag_norm_cosine,17,15,210,0.9790925758063324,0.9800949954688729,0.9792847982023083,0.9800493965448206,-0.00019222239597588658,-0.00042771739530889086,-0.0009964050854874692,0.0007337152060692558,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,8,False
2.0,full,rel_peak_db_pearson,17,15,210,0.7702104731263774,0.7652353066558438,0.7719443681955821,0.7802444681321502,-0.0017338950692047457,-0.009876584096250696,-0.02049841328071104,0.019500320205543435,6,15,0.84912109375,0.5000499950005,1,0.06666666666666667,3,0.2,9,False
2.0,side,mag_norm_cosine,16,15,210,0.9730349068124444,0.9743187437213033,0.9732888791096986,0.9741376575737071,-0.00025397229725418284,-0.000547737845754126,-0.0012815036759424858,0.0009658860962424631,6,15,0.84912109375,1.0,1,0.06666666666666667,3,0.2,8,False
2.0,side,rel_peak_db_pearson,16,15,210,0.7486899694654985,0.7454567720881639,0.7507608442182259,0.7613663992390717,-0.0020708747527274102,-0.010645899331015563,-0.020819014672661732,0.02001241397359396,6,15,0.84912109375,0.5000499950005,1,0.06666666666666667,3,0.2,9,False
