k,scope,metric,subbin_count,matched_count,mismatch_pair_count,matched_mean,matched_median,mismatch_mean,mismatch_median,mean_diff_vs_mismatch_mean,median_diff_vs_mismatch_mean,bootstrap95_diff_low,bootstrap95_diff_high,locations_matched_gt_mismatch_mean,locations_total,sign_test_p,sign_flip_p,matched_top1_count,matched_top1_rate,matched_top3_count,matched_top3_rate,median_matched_rank,significant_positive
0.5,full,complex_common_phase,5,15,210,0.9970273674786184,0.9970107935292385,0.9970967738583199,0.997179600337238,-6.940637970142364e-05,-6.827683503707327e-05,-0.0003887903723139926,0.00016273117771163173,7,15,0.696380615234375,0.5000499950005,1,0.06666666666666667,3,0.2,10,False
0.5,full,complex_linear_phase,5,15,210,0.997653185038943,0.9980063168114077,0.9977272410532229,0.9985786814984208,-7.405601427989961e-05,6.127548218237688e-05,-0.0003816796659290874,0.0001436638284544989,8,15,0.5,0.5000499950005,1,0.06666666666666667,4,0.26666666666666666,10,False
0.5,side,complex_common_phase,4,15,210,0.9959785143552019,0.9960010184968326,0.9960775533582514,0.9960772137034846,-9.903900304957987e-05,-0.00010058947342206359,-0.000547126123781568,0.00023015872388406264,7,15,0.696380615234375,0.5000499950005,1,0.06666666666666667,3,0.2,10,False
0.5,side,complex_linear_phase,4,15,210,0.9968540356131442,0.9972300420231006,0.996959504100317,0.9982301509155509,-0.00010546848717275144,8.309689586194491e-05,-0.0005442062201207243,0.0002038574838763685,8,15,0.5,0.5000499950005,1,0.06666666666666667,4,0.26666666666666666,10,False
1.0,full,complex_common_phase,9,15,210,0.9911355879863315,0.9925133309956984,0.9911770358464131,0.9927972742407877,-4.1447860081592994e-05,-0.0001725760154216438,-0.0004716694833989547,0.0003792347759180433,6,15,0.84912109375,1.0,1,0.06666666666666667,4,0.26666666666666666,10,False
1.0,full,complex_linear_phase,9,15,210,0.9921138226164469,0.9931886268942905,0.9921683843046949,0.9932004838667642,-5.4561688248074466e-05,-8.401095040144746e-05,-0.00045016379756450674,0.00033514063450062657,7,15,0.696380615234375,1.0,1,0.06666666666666667,3,0.2,9,False
1.0,side,complex_common_phase,8,15,210,0.9882741995880509,0.9903081837179685,0.98833457353008,0.9905890728065223,-6.0373942029157134e-05,-0.0002307533571339615,-0.0006654196648711549,0.0005273353696991705,6,15,0.84912109375,1.0,1,0.06666666666666667,4,0.26666666666666666,10,False
1.0,side,complex_linear_phase,8,15,210,0.9896073540264101,0.9909548195112783,0.9896849212658845,0.9911838276041757,-7.756723947437058e-05,-9.418109509151673e-05,-0.000637066785932346,0.00047388939421229753,7,15,0.696380615234375,1.0,1,0.06666666666666667,3,0.2,9,False
1.5,full,complex_common_phase,13,15,210,0.987682225967828,0.9900838614796307,0.9876318416391021,0.9897304072697506,5.0384328725838756e-05,-8.835474534696353e-05,-0.00031928518153906036,0.0004443649195000843,6,15,0.84912109375,0.5000499950005,0,0.0,4,0.26666666666666666,8,False
1.5,full,complex_linear_phase,13,15,210,0.9882668229101972,0.9905668605078034,0.9882242882475963,0.9902711372268906,4.253466260083864e-05,-6.187613492480981e-05,-0.00030942040650959365,0.0004201161252440633,7,15,0.696380615234375,0.5000499950005,1,0.06666666666666667,4,0.26666666666666666,8,False
1.5,side,complex_common_phase,12,15,210,0.9836241059035528,0.9866745202778369,0.9835567557676111,0.9862849573507446,6.735013594156107e-05,-0.00017182030066609233,-0.00044060580829647923,0.000588437607913761,6,15,0.84912109375,0.5000499950005,0,0.0,4,0.26666666666666666,8,False
1.5,side,complex_linear_phase,12,15,210,0.9844148822345391,0.9875476599720342,0.9843578483848404,0.9869120002132765,5.703384969875843e-05,-8.261642308871053e-05,-0.000430770687524884,0.0005532978521440487,7,15,0.696380615234375,0.5000499950005,1,0.06666666666666667,4,0.26666666666666666,8,False
2.0,full,complex_common_phase,17,15,210,0.9857039429769797,0.9880532577669808,0.9856952863333007,0.9885611353262678,8.656643678972565e-06,-0.00018072053044748682,-0.00039334305985085175,0.0004190943930230192,6,15,0.84912109375,0.5000499950005,0,0.0,4,0.26666666666666666,9,False
2.0,full,complex_linear_phase,17,15,210,0.986365391535283,0.9884816142439583,0.9863636108062745,0.9889101698626104,1.7807290085084897e-06,-0.0001821885366217746,-0.0003801019523699563,0.00039608805346991925,7,15,0.696380615234375,0.5000499950005,1,0.06666666666666667,3,0.2,9,False
2.0,side,complex_common_phase,16,15,210,0.9810430601794548,0.9839296624234317,0.9810317141286314,0.9848614599883894,1.1346050823379806e-05,-0.0002412187337564875,-0.0005308423760170748,0.000569750307968464,6,15,0.84912109375,0.5000499950005,0,0.0,4,0.26666666666666666,9,False
2.0,side,complex_linear_phase,16,15,210,0.9819354686771787,0.9844930322627266,0.9819332309069733,0.9852737021515199,2.2377702054710014e-06,-0.00024336603860541928,-0.0005086051170875535,0.0005415091125963316,7,15,0.696380615234375,0.5000499950005,1,0.06666666666666667,3,0.2,9,False
