split,method,method_label,packets,candidate_recall,lda_correct,search_correct,search_accuracy,search_mae_m,search_p95_m,final_correct,final_accuracy,final_mae_m,final_p95_m,severe_error_rate,changes_vs_lda,beneficial_corrections,harmful_corrections,correction_precision,mean_search_runtime_ms,mean_path_switches,mean_path_garbage
validation,average_cost,Average cost,128,1.0,117,105,0.8203125,0.815859375,5.560499999999972,119,0.9296875,0.4715625,3.3900000000000006,0.03125,2,2,0,1.0,0.00136232031247574,,
validation,greedy_path,Greedy path,128,1.0,117,105,0.8203125,0.7902343750000002,3.461499999999999,119,0.9296875,0.4715625,3.3900000000000006,0.03125,2,2,0,1.0,0.07996093750017863,0.0,0.0
validation,no_pheromone,No pheromone,128,1.0,117,105,0.8203125,0.8414843750000001,6.670000000000001,119,0.9296875,0.4715625,3.3900000000000006,0.03125,2,2,0,1.0,4.648281867187436,0.0,0.0
validation,full_aco,Full ACO,128,1.0,117,106,0.828125,0.762890625,3.461499999999999,119,0.9296875,0.4715625,3.3900000000000006,0.03125,2,2,0,1.0,4.932916023437375,0.0,0.0
formal_test,average_cost,Average cost,128,1.0,120,104,0.8125,0.9448437500000001,5.521999999999971,120,0.9375,0.31523437500000007,3.3900000000000006,0.0078125,0,0,0,,0.001326164062454005,,
formal_test,greedy_path,Greedy path,128,1.0,120,104,0.8125,0.9448437500000001,5.521999999999971,120,0.9375,0.31523437500000007,3.3900000000000006,0.0078125,2,1,1,0.5,0.07906439062516091,0.0,0.0
formal_test,no_pheromone,No pheromone,128,1.0,120,103,0.8046875,1.05078125,5.521999999999971,121,0.9453125,0.28875000000000006,2.2034999999999716,0.0078125,1,1,0,1.0,4.656691085937636,0.0,0.0
formal_test,full_aco,Full ACO,128,1.0,120,105,0.8203125,0.8406250000000001,3.3900000000000006,120,0.9375,0.31523437500000007,3.3900000000000006,0.0078125,2,1,1,0.5,5.21754882812514,0.0,0.0
