split,reference,reference_correct,no_alpha_correct,changed,W2R,R2W,changed_both_wrong,net_gain,mcnemar_exact_two_sided_p
validation,alpha_0.3_mainline,117,119,5,3,1,1,2,0.625
formal_test,alpha_0.3_mainline,120,120,4,2,2,0,0,1.0
