split,main_correct,main_accuracy,lora_only_correct,lora_only_accuracy,delta_correct_lora_only_minus_main,delta_accuracy_lora_only_minus_main,main_T_seg,lora_only_T_seg
train_loocv,2697,0.9111486486486486,2698,0.9114864864864864,1,0.00033783783783780663,0.02403918092026683,0.023617501086736183
val,70,0.958904109589041,70,0.958904109589041,0,0.0,0.02403918092026683,0.023617501086736183
test,67,0.9054054054054054,66,0.8918918918918919,-1,-0.013513513513513487,0.02403918092026683,0.023617501086736183
