file_name,experiment_id,corridor_id,location_id,position_key,packet_index,payload_status,packet_bytes,packet_counter,total_counter,receiver_average_rssi,snr,sf,tp,serial_size,realtime_average_rssi,average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_min,rssi_max,distance_m,PLM_RSSI,residual
2_0_33_11_2_16.txt,2,0,33,0_33,0,PLOK,17472,1,1,-68.0,10.0,11,2,66,-67.60802392031071,-67.60802392031071,-67.42056278359566,-67.0,1.0533544762270783,-72.93069375550738,-66.0,4.5,-65.30219008854255,-2.305833831768169
2_0_33_11_2_16.txt,2,0,33,0_33,1,PLOK,17472,2,2,-68.0,10.0,11,2,66,-65.91837795655333,-65.91837795655333,-65.82678825648959,-66.0,1.1391371660456078,-73.0,-64.04425095078516,4.5,-65.30219008854255,-0.6161878680107833
2_0_33_11_2_16.txt,2,0,33,0_33,2,PLOK,17472,3,3,-66.0,8.0,11,2,66,-65.2973659777096,-65.2973659777096,-65.31482533698487,-65.0,0.47608057150546723,-66.54664211705025,-63.0,4.5,-65.30219008854255,0.004824110832942097
2_0_33_11_2_16.txt,2,0,33,0_33,3,PLOK,17472,4,4,-68.0,10.0,11,2,66,-66.93465380759746,-66.93465380759746,-66.58188914297756,-67.0,0.868893288117321,-73.0,-65.6897703648017,4.5,-65.30219008854255,-1.6324637190549112
2_0_33_11_2_16.txt,2,0,33,0_33,4,PLOK,17472,5,5,-67.0,11.0,11,2,66,-67.00042444764301,-67.00042444764301,-66.6522842516043,-66.0,0.9349704898451453,-69.41183258804587,-65.0,4.5,-65.30219008854255,-1.6982343591004678
2_0_33_11_2_16.txt,2,0,33,0_33,5,PLOK,17472,6,6,-67.0,7.0,11,2,66,-65.250924094084,-65.250924094084,-65.22983242279528,-65.0,0.7005871177719032,-71.0,-64.01008222219859,4.5,-65.30219008854255,0.051265994458546515
2_0_33_11_2_16.txt,2,0,33,0_33,6,PLOK,17472,7,7,-68.0,10.0,11,2,66,-66.73164775558702,-66.73164775558702,-66.7456295007166,-67.0,0.2662447949270427,-68.1831825405094,-65.0,4.5,-65.30219008854255,-1.429457667044474
2_0_33_11_2_16.txt,2,0,33,0_33,7,PLOK,17472,8,8,-68.0,10.0,11,2,66,-66.99082372153116,-66.99082372153116,-66.77821160071065,-67.0,1.2823332992569794,-75.0,-66.20017385437453,4.5,-65.30219008854255,-1.688633632988612
2_0_33_11_2_16.txt,2,0,33,0_33,8,PLOK,17472,9,9,-68.0,10.0,11,2,66,-65.86997196684584,-65.86997196684584,-65.68187414335351,-66.0,0.5873941869822585,-70.93069375550738,-64.0,4.5,-65.30219008854255,-0.5677818783032933
2_0_33_11_2_16.txt,2,0,33,0_33,9,PLOK,17472,10,10,-68.0,10.0,11,2,66,-67.8660379693219,-67.8660379693219,-67.69339766978474,-68.0,1.3602247674090706,-75.0,-66.34655957830432,4.5,-65.30219008854255,-2.563847880779349
2_0_33_11_2_16.txt,2,0,33,0_33,10,PLOK,17472,11,11,-70.0,10.0,11,2,66,-67.99325554805914,-67.99325554805914,-67.95315189121291,-68.0,0.31487676918207913,-69.30848157435234,-67.0,4.5,-65.30219008854255,-2.6910654595165937
2_0_33_11_2_16.txt,2,0,33,0_33,11,PLOK,17472,12,12,-67.0,9.0,11,2,66,-68.65153129113705,-68.65153129113705,-68.26884288324896,-68.0,2.185651545303928,-75.0,-66.90570324333548,4.5,-65.30219008854255,-3.349341202594502
2_0_33_11_2_16.txt,2,0,33,0_33,12,PLOK,17472,13,13,-67.0,10.0,11,2,66,-67.46681784598816,-67.46681784598816,-67.22163265347464,-67.0,0.6782684777266427,-70.94059464757774,-65.0,4.5,-65.30219008854255,-2.164627757445615
2_0_33_11_2_16.txt,2,0,33,0_33,13,PLOK,17472,14,14,-69.0,9.0,11,2,66,-67.68937210149656,-67.68937210149656,-67.59046674015289,-68.0,0.8074150690739624,-74.0,-66.0262071632556,4.5,-65.30219008854255,-2.387182012954014
2_0_33_11_2_16.txt,2,0,33,0_33,14,PLOK,17472,15,15,-67.0,10.0,11,2,66,-67.09891438266808,-67.09891438266808,-66.99480567385118,-67.0,0.6286158353234904,-68.65417757953941,-65.73570630838259,4.5,-65.30219008854255,-1.7967242941255392
2_0_33_11_2_16.txt,2,0,33,0_33,15,PLOK,17472,16,16,-68.0,10.0,11,2,66,-66.99507457511848,-66.99507457511848,-66.80832543989308,-67.0,0.8639447779038946,-73.0,-65.3569864485613,4.5,-65.30219008854255,-1.6928844865759345
2_0_33_11_2_16.txt,2,0,33,0_33,16,PLOK,17472,17,17,-68.0,9.0,11,2,66,-67.50605412740636,-67.50605412740636,-67.3608521914032,-67.0,0.6706763454559469,-69.95049553964812,-65.0,4.5,-65.30219008854255,-2.203864038863813
2_0_33_11_2_16.txt,2,0,33,0_33,17,PLOK,17472,18,18,-69.0,10.0,11,2,66,-67.77561062162455,-67.77561062162455,-67.57004258735896,-68.0,1.019832605792972,-75.0,-66.36164164624216,4.5,-65.30219008854255,-2.473420533082006
2_0_33_11_2_16.txt,2,0,33,0_33,18,PLOK,17472,19,19,-68.0,8.0,11,2,66,-65.1524194217618,-65.1524194217618,-65.09446178847055,-65.0,0.2941370852903928,-66.39092834363807,-63.0,4.5,-65.30219008854255,0.14977066678073925
2_0_33_11_2_16.txt,2,0,33,0_33,19,PLOK,17472,20,20,-67.0,10.0,11,2,66,-67.44434262898969,-67.44434262898969,-66.97285353855827,-67.0,1.6743934085130447,-75.0,-66.32173324480858,4.5,-65.30219008854255,-2.1421525404471424
2_0_34_11_2_16.txt,2,0,34,0_34,0,PLOK,17472,32,32,-76.0,9.0,11,2,66,-75.07047127592391,-75.07047127592391,-74.88026014812706,-76.0,1.5365047004497572,-81.0,-72.69208583216424,7.89,-72.35571822986914,-2.714753046054767
2_0_34_11_2_16.txt,2,0,34,0_34,1,PLOK,17472,33,33,-67.0,9.0,11,2,66,-67.37173752257317,-67.37173752257317,-67.33821735727382,-67.0,0.43204449110890886,-70.94059464757774,-65.0,7.89,-72.35571822986914,4.98398070729597
2_0_34_11_2_16.txt,2,0,34,0_34,2,PLOK,17472,34,34,-69.0,9.0,11,2,66,-69.21117834136466,-69.21117834136466,-68.8758437744763,-69.0,0.8931826714164199,-75.0,-67.6904405635689,7.89,-72.35571822986914,3.1445398885044824
2_0_34_11_2_16.txt,2,0,34,0_34,3,PLOK,17472,35,35,-69.0,9.0,11,2,66,-67.47511868155472,-67.47511868155472,-67.53958729767507,-68.0,0.22640126119038773,-68.55072345245532,-65.0,7.89,-72.35571822986914,4.8805995483144216
2_0_34_11_2_16.txt,2,0,34,0_34,4,PLOK,17472,36,36,-69.0,10.0,11,2,66,-68.19213899843756,-68.19213899843756,-67.97006001589422,-68.0,0.9536114912015455,-75.0,-67.5093265597253,7.89,-72.35571822986914,4.163579231431584
2_0_34_11_2_16.txt,2,0,34,0_34,5,PLOK,17472,37,37,-68.0,9.0,11,2,66,-67.92997959383189,-67.92997959383189,-67.78600705827103,-68.0,0.44112310086349876,-71.94059464757774,-66.0,7.89,-72.35571822986914,4.425738636037252
2_0_34_11_2_16.txt,2,0,34,0_34,6,PLOK,17472,38,38,-68.0,9.0,11,2,66,-68.13713317249618,-68.13713317249618,-68.06344014204564,-68.0,0.8083853430689281,-75.0,-67.28807138133553,7.89,-72.35571822986914,4.218585057372962
2_0_34_11_2_16.txt,2,0,34,0_34,7,PLOK,17472,39,39,-69.0,9.0,11,2,66,-70.11870421042909,-70.11870421042909,-70.14270001930991,-70.0,0.9664968393530617,-71.87062165187758,-68.0,7.89,-72.35571822986914,2.2370140194400534
2_0_34_11_2_16.txt,2,0,34,0_34,8,PLOK,17472,40,40,-68.0,9.0,11,2,66,-71.12371367140261,-71.12371367140261,-69.99981765956827,-68.0,8.275784058416631,-77.0,-67.46457064528066,7.89,-72.35571822986914,1.232004558466528
2_0_34_11_2_16.txt,2,0,34,0_34,9,PLOK,17472,41,41,-68.0,10.0,11,2,66,-67.69847680117084,-67.69847680117084,-67.46429493327255,-67.0,0.7347122878492968,-70.00964027626895,-65.0,7.89,-72.35571822986914,4.657241428698299
2_0_34_11_2_16.txt,2,0,34,0_34,10,PLOK,17472,42,42,-69.0,9.0,11,2,66,-67.8795800521755,-67.8795800521755,-67.82974875000025,-68.0,0.9336755723168864,-75.0,-66.36164164624216,7.89,-72.35571822986914,4.476138177693642
2_0_34_11_2_16.txt,2,0,34,0_34,11,PLOK,17472,43,43,-68.0,9.0,11,2,66,-66.71011523946899,-66.71011523946899,-66.84875857738359,-67.0,0.38151688620191126,-68.0107183398242,-64.99949776482947,7.89,-72.35571822986914,5.64560299040015
2_0_34_11_2_16.txt,2,0,34,0_34,12,PLOK,17472,44,44,-68.0,9.0,11,2,66,-68.13800632366133,-68.13800632366133,-67.85413012568705,-68.0,0.905196076745872,-75.0,-67.02520484778825,7.89,-72.35571822986914,4.217711906207811
2_0_34_11_2_16.txt,2,0,34,0_34,13,PLOK,17472,45,45,-67.0,10.0,11,2,66,-66.73688888313433,-66.73688888313433,-66.5232174875776,-66.0,0.711048010234638,-70.94059464757774,-65.0,7.89,-72.35571822986914,5.618829346734813
2_0_34_11_2_16.txt,2,0,34,0_34,14,PLOK,17472,46,46,-69.0,9.0,11,2,66,-68.15085974131718,-68.15085974131718,-67.87288196239346,-68.0,0.8244697925036327,-74.0,-67.02322447980931,7.89,-72.35571822986914,4.204858488551963
2_0_34_11_2_16.txt,2,0,34,0_34,15,PLOK,17472,47,47,-68.0,10.0,11,2,66,-66.84603037539523,-66.84603037539523,-66.94596375266654,-67.0,0.19152656020103698,-67.72881200002276,-65.0,7.89,-72.35571822986914,5.50968785447391
2_0_34_11_2_16.txt,2,0,34,0_34,16,PLOK,17472,48,48,-68.0,9.0,11,2,66,-67.74556245222114,-67.74556245222114,-67.53990731735345,-67.0,0.7944172169465611,-73.0,-66.68545026650443,7.89,-72.35571822986914,4.6101557776480035
2_0_34_11_2_16.txt,2,0,34,0_34,17,PLOK,17472,49,49,-66.0,10.0,11,2,66,-66.11121101796225,-66.11121101796225,-65.84869946162951,-66.0,0.9110736291052705,-70.94059464757774,-64.9816174887219,7.89,-72.35571822986914,6.2445072119068925
2_0_34_11_2_16.txt,2,0,34,0_34,18,PLOK,17472,50,50,-69.0,9.0,11,2,66,-68.36139856927016,-68.36139856927016,-68.29025532781489,-68.0,0.820829619254504,-75.0,-67.35832386341227,7.89,-72.35571822986914,3.9943196605989755
2_0_34_11_2_16.txt,2,0,34,0_34,19,PLOK,17472,51,51,-67.0,10.0,11,2,66,-67.06361321395356,-67.06361321395356,-66.99019865217358,-67.0,0.5176627440876868,-69.01163045575707,-65.0,7.89,-72.35571822986914,5.292105015915581
2_0_34_11_2_16.txt,2,0,34,0_34,20,PLOK,17472,52,52,-67.0,10.0,11,2,66,-67.50752669712335,-67.50752669712335,-67.11378517087371,-67.0,1.2936409196040664,-75.0,-66.3603042313912,7.89,-72.35571822986914,4.848191532745787
2_0_35_11_2_16.txt,2,0,35,0_35,0,PLOK,17472,1,1,-94.0,8.0,11,2,66,-99.13557587252328,-99.13557587252328,-98.42900921718842,-98.0,3.405675651415693,-106.0,-96.65973887279813,11.28,-76.84564607136352,-22.289929801159758
2_0_35_11_2_16.txt,2,0,35,0_35,1,PLOK,17472,2,2,-83.0,8.0,11,2,66,-82.48426797860445,-82.48426797860445,-82.56191131656469,-83.0,0.13167904290509092,-83.25341792788736,-80.99866258514903,11.28,-76.84564607136352,-5.638621907240932
2_0_35_11_2_16.txt,2,0,35,0_35,2,PLOK,17472,3,3,-78.0,8.0,11,2,66,-78.347383967155,-78.347383967155,-78.35267108397728,-78.0,0.8834781646506041,-85.0,-76.54201578026178,11.28,-76.84564607136352,-1.5017378957914786
2_0_35_11_2_16.txt,2,0,35,0_35,3,PLOK,17472,4,4,-78.0,10.0,11,2,66,-77.91763368206865,-77.91763368206865,-77.94917828808977,-78.0,0.13200101771307282,-79.14844434319059,-77.0,11.28,-76.84564607136352,-1.0719876107051363
2_0_35_11_2_16.txt,2,0,35,0_35,4,PLOK,17472,5,5,-77.0,10.0,11,2,66,-79.4202215312775,-79.4202215312775,-79.25644399017241,-79.0,1.2166096171185843,-87.0,-78.35699287052702,11.28,-76.84564607136352,-2.574575459913987
2_0_35_11_2_16.txt,2,0,35,0_35,5,PLOK,17472,6,6,-77.0,8.0,11,2,66,-76.29875670178119,-76.29875670178119,-76.08812599450171,-76.0,0.7126368948253236,-81.93069375550738,-75.0,11.28,-76.84564607136352,0.5468893695823311
2_0_35_11_2_16.txt,2,0,35,0_35,6,PLOK,17472,7,7,-79.0,8.0,11,2,66,-76.82337561172868,-76.82337561172868,-76.83798017365861,-77.0,0.7930821268475116,-83.0,-75.02654226263921,11.28,-76.84564607136352,0.022270459634839312
2_0_35_11_2_16.txt,2,0,35,0_35,7,PLOK,17472,8,8,-82.0,8.0,11,2,66,-80.8325605799235,-80.8325605799235,-81.20971180542782,-82.0,1.5049090791499602,-82.42853305497617,-77.00231546736254,11.28,-76.84564607136352,-3.986914508559977
2_0_35_11_2_16.txt,2,0,35,0_35,8,PLOK,17472,9,9,-76.0,9.0,11,2,66,-77.4712529155523,-77.4712529155523,-77.16688676086599,-77.0,1.3601509647868537,-85.0,-76.33641484079342,11.28,-76.84564607136352,-0.6256068441887805
2_0_35_11_2_16.txt,2,0,35,0_35,9,PLOK,17472,10,10,-79.0,10.0,11,2,66,-78.43788652699905,-78.43788652699905,-78.32619533862216,-78.0,0.35087884644640016,-80.95049553964812,-76.0,11.28,-76.84564607136352,-1.5922404556355332
2_0_35_11_2_16.txt,2,0,35,0_35,10,PLOK,17472,11,11,-77.0,9.0,11,2,66,-77.3945209320867,-77.3945209320867,-77.60511298527791,-79.0,3.18010035161469,-85.0,-75.09900892070375,11.28,-76.84564607136352,-0.5488748607231884
2_0_35_11_2_16.txt,2,0,35,0_35,11,PLOK,17472,12,12,-82.0,9.0,11,2,66,-80.03307173994882,-80.03307173994882,-78.7303860614879,-77.0,8.960173611008486,-84.49723992241533,-76.49941322235898,11.28,-76.84564607136352,-3.1874256685853055
2_0_35_11_2_16.txt,2,0,35,0_35,12,PLOK,17472,13,13,-76.0,9.0,11,2,66,-76.96389126316389,-76.96389126316389,-76.80234307896396,-77.0,0.9082421245027987,-83.0,-76.17217410074974,11.28,-76.84564607136352,-0.1182451918003693
2_0_35_11_2_16.txt,2,0,35,0_35,13,PLOK,17472,14,14,-78.0,7.0,11,2,66,-77.48751495111969,-77.48751495111969,-77.41007360544424,-77.0,0.5191638018358573,-79.95049553964812,-75.0,11.28,-76.84564607136352,-0.6418688797561742
2_0_35_11_2_16.txt,2,0,35,0_35,14,PLOK,17472,15,15,-77.0,9.0,11,2,66,-77.44445319982114,-77.44445319982114,-77.2778023003241,-77.0,1.2832985738217006,-85.0,-75.09900892070375,11.28,-76.84564607136352,-0.5988071284576222
2_0_35_11_2_16.txt,2,0,35,0_35,15,PLOK,17472,16,16,-76.0,8.0,11,2,66,-76.02386577244627,-76.02386577244627,-76.0135738840059,-76.0,0.2759335571745943,-77.04814251985863,-74.0,11.28,-76.84564607136352,0.8217802989172469
2_0_35_11_2_16.txt,2,0,35,0_35,16,PLOK,17472,17,17,-78.0,7.0,11,2,66,-77.61371788320335,-77.61371788320335,-77.4260120725504,-77.0,0.8649917018535647,-83.0,-76.93756245124655,11.28,-76.84564607136352,-0.7680718118398318
2_0_35_11_2_16.txt,2,0,35,0_35,17,PLOK,17472,18,18,-76.0,8.0,11,2,66,-78.63219691039987,-78.63219691039987,-78.02886625189026,-77.0,2.652542902424186,-82.9603964317185,-76.72140140444489,11.28,-76.84564607136352,-1.7865508390363516
