metric,matched_count,matched_mean,matched_median,mismatch_pair_count,mismatch_mean,mismatch_median,mean_diff_vs_mismatch_mean,median_diff_vs_mismatch_mean,bootstrap95_diff_low,bootstrap95_diff_high,locations_matched_gt_mismatch_mean,locations_total,sign_test_p,matched_top1_count,matched_top1_rate,median_matched_rank
cosine,15,0.9617714245905815,0.9622930989795037,225,0.963059766228828,0.9652613647664638,-0.0012883416382465003,-0.0027471319657164095,-0.004836070699839031,0.002970692802189867,4,15,0.982421875,1,0.06666666666666667,9
relative_db_pearson,15,0.9774276179363982,0.9863532387767562,225,0.9753559166673836,0.9836086343338679,0.002071701269014533,0.0006230340371534693,-0.002667746159018917,0.007237910066647269,8,15,0.5,2,0.13333333333333333,9
