corridor_id,location_id,position_key,c_i（NLOS-2，LOS-1，OLOS-0）,o_i(1=有数据，0-无数据),distance_m,distance_source,spacing_m,anchor_note
0,33,0_33,1,0,4.5,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,34,0_34,1,1,7.89,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,35,0_35,0,0,11.28,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,36,0_36,0,1,14.67,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,37,0_37,0,0,18.06,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,38,0_38,0,1,21.45,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,39,0_39,0,0,24.84,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,40,0_40,0,1,28.23,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,41,0_41,0,0,31.62,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,42,0_42,0,1,35.01,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,43,0_43,0,0,38.4,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,44,0_44,0,1,41.79,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,45,0_45,0,0,45.18,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,46,0_46,2,0,48.57,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,47,0_47,2,0,51.96,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,48,0_48,2,0,55.35,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,49,0_49,2,0,58.74,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,50,0_50,2,0,62.13,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,51,0_51,2,0,65.52,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,52,0_52,2,0,68.91,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
0,53,0_53,2,0,72.3,topology_rule_from_sampling_map,3.39,"anchored at point 33, d33 = 4.5 m; distance accumulates through point 50 direction change"
1,16,1_16,0,1,55.24,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,17,1_17,0,0,51.85,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,18,1_18,0,1,48.46,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,19,1_19,0,0,45.07,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,20,1_20,0,1,41.68,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,21,1_21,0,0,38.29,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,22,1_22,0,1,34.9,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,23,1_23,0,0,31.51,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,24,1_24,0,1,28.12,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,25,1_25,0,0,24.73,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,26,1_26,0,1,21.34,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,27,1_27,0,0,17.95,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,28,1_28,0,1,14.56,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,29,1_29,0,0,11.17,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,30,1_30,1,1,7.78,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,31,1_31,1,0,4.39,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
1,32,1_32,1,1,1,topology_rule_from_sampling_map,3.39,"anchored at point 32, d32 = 1.0 m"
2,0,2_0,2,0,109.48,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,1,2_1,2,0,106.09,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,2,2_2,2,0,102.7,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,3,2_3,2,0,99.31,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,4,2_4,2,0,95.92,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,5,2_5,2,0,92.53,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,6,2_6,2,0,89.14,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,7,2_7,2,0,85.75,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,8,2_8,2,0,82.36,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,9,2_9,2,0,78.97,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
2,10,2_10,2,0,75.58,topology_rule_from_sampling_map,3.39,connected through corridor 1; d15 = d16 + spacing_m
