selection_rank,score,query_rssi_file,query_bin_file,packet_index,true_location,confusing_location,state,corridor_id,rssi_top1_location,rssi_top2_location,true_rank_in_rssi_posterior,confusing_rank_in_rssi_posterior,rssi_posterior_true,rssi_posterior_confusing,rssi_posterior_abs_gap,rssi_posterior_ratio,raw_q1_rmse_to_true_db,raw_q1_rmse_to_confusing_db,raw_q1_gain_db,q4_rmse_to_true_db,q4_rmse_to_confusing_db,q4_gain_db,true_template_packet_count,confusing_template_packet_count,note
1,9.968336186365878,2_0_37_11_2_16.txt,2_0_37_11_2_16.bin,6,37,36,OLOS,0,37,36,1,2,0.17106689264713446,0.16282286921312122,0.008244023434013231,0.9518081885603753,8.104746963273257,8.490269708408,0.38552274513474316,4.736659037576984,7.167390084159298,2.4307310465823146,12,16,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
2,9.328287609713707,2_0_40_11_2_16.txt,2_0_40_11_2_16.bin,2,40,21,OLOS,0,21,40,2,1,0.10911777595459982,0.12314136507465448,0.014023589120054664,0.8861179660339735,5.430877177324501,6.188762888265155,0.7578857109406547,4.218316436872534,6.507271667764073,2.2889552308915384,9,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
3,8.946747550923984,2_1_21_11_2_16.txt,2_1_21_11_2_16.bin,12,21,40,OLOS,1,40,21,2,1,0.16104046236214778,0.16401822437852548,0.0029777620163776997,0.9818449320027661,2.6235246885387746,3.5622741835431264,0.9387494950043518,4.628051940703018,6.481017784872413,1.852965844169395,14,10,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
4,10.303598708746394,2_0_44_11_2_16.txt,2_0_44_11_2_16.bin,5,44,19,OLOS,0,44,19,1,2,0.19683872228150673,0.16607686643256211,0.030761855848944614,0.8437205063496049,3.6730540813229307,4.29482005709056,0.6217659757676297,3.2790767162702426,6.137646796006721,2.8585700797364786,9,19,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
5,8.579029641325514,2_1_25_11_2_16.txt,2_1_25_11_2_16.bin,0,25,26,OLOS,1,25,26,1,2,0.14129273292948932,0.1293640904601432,0.011928642469346135,0.9155749752869526,7.648764190623817,8.054498577298522,0.4057343866747054,5.9629120189808775,7.8033791773651195,1.840467158384242,14,5,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
6,8.372166689001745,2_0_40_11_2_16.txt,2_0_40_11_2_16.bin,7,40,24,OLOS,0,24,40,2,1,0.1523927525008927,0.166000102660352,0.013607350159459297,0.9180280617819804,4.567764205062393,5.137900875435801,0.5701366703734081,4.882769636182548,6.600651211227124,1.7178815750445757,9,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
7,8.197318675624052,2_0_40_11_2_16.txt,2_0_40_11_2_16.bin,9,40,24,OLOS,0,40,24,1,2,0.16464218331280953,0.15858135601046622,0.006060827302343308,0.9631878830783717,5.284486867675968,5.0794286195018845,-0.20505824817408325,5.80904257894998,7.3316124589945275,1.5225698800445473,9,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
8,8.14907966557571,2_0_35_11_2_16.txt,2_0_35_11_2_16.bin,1,35,39,OLOS,0,39,35,2,1,0.1379475864701744,0.15426586421534555,0.01631827774517114,0.8942197755273206,7.286003447078978,8.088095652368736,0.8020922052897577,8.38910119136272,10.05779602424269,1.6686948328799698,16,2,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
9,8.148145840589773,2_0_38_11_2_16.txt,2_0_38_11_2_16.bin,6,38,25,OLOS,0,25,38,2,1,0.13961689801246274,0.14149922693648165,0.0018823289240189056,0.9866972494142044,5.493739920074014,4.814573795739816,-0.6791661243341984,4.135023391280547,5.597904019599749,1.4628806283192022,8,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
10,8.086706416747727,2_1_25_11_2_16.txt,2_1_25_11_2_16.bin,3,25,26,OLOS,1,26,25,2,1,0.12980939263314098,0.13558742583844247,0.005778033205301486,0.9573851839905403,10.329370549503752,11.437733029668433,1.108362480164681,4.552076292303416,6.055543481482185,1.5034671891787692,14,5,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
11,8.06031268895251,2_0_38_11_2_16.txt,2_0_38_11_2_16.bin,7,38,24,OLOS,0,38,24,1,2,0.14866066625366622,0.12930955687888415,0.01935110937478207,0.8698303333192223,6.9374862354862135,5.612232309269635,-1.3252539262165781,3.435375814585743,5.1185570943908,1.6831812798050572,8,15,Higher score means RSSI+ posterior is close while q=4 frequency curve favors the true location.
