scenario_type,condition,severity,strength,method,packets,correct,accuracy,topology_mae_m,topology_p95_m,severe_error_threshold_m,severe_error_count,severe_error_rate,prediction_changes_vs_lda,correction_coverage,beneficial_corrections,harmful_corrections,changed_but_still_wrong,correction_precision
artificial_perturbation,preamble_missing,clean,0.0,LDA,128,120,0.9375,0.31523437500000007,3.3900000000000006,10.0,1,0.0078125,0,0.0,0,0,0,
artificial_perturbation,preamble_missing,clean,0.0,Fixed fusion,128,120,0.9375,0.3664843750000001,3.3900000000000006,10.0,1,0.0078125,4,0.03125,2,2,0,0.5
artificial_perturbation,preamble_missing,clean,0.0,Gated ACO,128,120,0.9375,0.31523437500000007,3.3900000000000006,10.0,1,0.0078125,0,0.0,0,0,0,
artificial_perturbation,preamble_missing,level_1,1.0,LDA,128,119,0.9296875,0.34171875000000007,3.3900000000000006,10.0,1,0.0078125,0,0.0,0,0,0,
artificial_perturbation,preamble_missing,level_1,1.0,Fixed fusion,128,117,0.9140625,0.4450781250000001,3.3900000000000006,10.0,1,0.0078125,4,0.03125,1,3,0,0.25
artificial_perturbation,preamble_missing,level_1,1.0,Gated ACO,128,119,0.9296875,0.34171875000000007,3.3900000000000006,10.0,1,0.0078125,0,0.0,0,0,0,
artificial_perturbation,preamble_missing,level_2,2.0,LDA,128,112,0.875,0.5766406250000001,3.3900000000000006,10.0,2,0.015625,0,0.0,0,0,0,
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,128,114,0.890625,0.5492968750000001,3.3900000000000006,10.0,2,0.015625,8,0.0625,5,3,0,0.625
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,128,113,0.8828125,0.5501562500000001,3.3900000000000006,10.0,2,0.015625,1,0.0078125,1,0,0,1.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,128,98,0.765625,1.02171875,5.521999999999974,10.0,2,0.015625,0,0.0,0,0,0,
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,128,106,0.828125,0.7594531250000002,3.3900000000000006,10.0,2,0.015625,13,0.1015625,9,1,3,0.6923076923076923
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,128,100,0.78125,0.9704687500000001,5.521999999999974,10.0,2,0.015625,2,0.015625,2,0,0,1.0
artificial_perturbation,amplitude_noise,clean,0.0,LDA,128,120,0.9375,0.31523437500000007,3.3900000000000006,10.0,1,0.0078125,0,0.0,0,0,0,
artificial_perturbation,amplitude_noise,clean,0.0,Fixed fusion,128,120,0.9375,0.3664843750000001,3.3900000000000006,10.0,1,0.0078125,4,0.03125,2,2,0,0.5
artificial_perturbation,amplitude_noise,clean,0.0,Gated ACO,128,120,0.9375,0.31523437500000007,3.3900000000000006,10.0,1,0.0078125,0,0.0,0,0,0,
artificial_perturbation,amplitude_noise,level_1,0.05,LDA,128,115,0.8984375,0.5510156250000001,3.3900000000000006,10.0,2,0.015625,0,0.0,0,0,0,
artificial_perturbation,amplitude_noise,level_1,0.05,Fixed fusion,128,119,0.9296875,0.3673437500000001,3.3900000000000006,10.0,1,0.0078125,7,0.0546875,5,1,1,0.7142857142857143
artificial_perturbation,amplitude_noise,level_1,0.05,Gated ACO,128,117,0.9140625,0.4203125000000001,3.3900000000000006,10.0,1,0.0078125,2,0.015625,2,0,0,1.0
artificial_perturbation,amplitude_noise,level_2,0.1,LDA,128,107,0.8359375,0.8696875000000001,5.521999999999971,10.0,4,0.03125,0,0.0,0,0,0,
