split,packets,rssi_top1_recall,rssi_top3_recall,rssi_top5_recall,lda_top1_recall,lda_top3_recall,lda_top5_recall,fusion_top5_recall,union_variable_recall,union_length_mean,union_length_min,union_length_max,candidate_truncation_unrecoverable_errors,rssi_top1_count,rssi_top3_count,rssi_top5_count,lda_top1_count,lda_top3_count,lda_top5_count,fusion_top5_count,union_variable_count
validation,128,0.71875,0.8984375,0.953125,0.9140625,0.984375,1.0,0.9921875,1.0,6.7109375,5,10,1,92,115,122,117,126,128,127,128
formal_test,128,0.6953125,0.921875,0.9453125,0.9375,1.0,1.0,1.0,1.0,6.734375,5,9,0,89,118,121,120,128,128,128,128
