split,file_name,packet_index,true_label,rssi_rank,lda_rank,fusion_rank,rssi_top5,lda_top5,fusion_top5,union_candidates,union_length,true_in_fusion_top5,true_in_union
validation,2_0_33_11_2_16.bin,2,0_33,1,1,1,0_33;0_34;1_29;1_30;1_28,0_33;1_30;0_34;1_29;0_35,0_33;1_30;0_34;1_29;1_28,0_33;1_30;0_34;1_29;0_35;1_28,6,1,1
validation,2_0_33_11_2_16.bin,6,0_33,1,1,1,0_33;1_29;0_34;0_35;1_27,0_33;1_30;0_34;1_29;0_35,0_33;1_29;0_34;1_30;0_35,0_33;1_30;0_34;1_29;0_35;1_27,6,1,1
validation,2_0_33_11_2_16.bin,12,0_33,1,1,1,0_33;1_29;0_34;0_35;1_28,0_33;1_30;0_34;1_29;0_35,0_33;1_29;0_34;1_30;0_35,0_33;1_30;0_34;1_29;0_35;1_28,6,1,1
validation,2_0_33_11_2_16.bin,14,0_33,1,1,1,0_33;1_29;0_34;0_35;1_28,0_33;1_30;0_34;1_29;0_35,0_33;1_30;1_29;0_34;0_35,0_33;1_30;0_34;1_29;0_35;1_28,6,1,1
validation,2_0_34_11_2_16.bin,2,0_34,1,1,1,0_34;1_29;1_27;0_36;0_33,0_34;1_30;1_29;0_35;0_33,0_34;1_30;1_29;0_35;1_27,0_34;1_30;1_29;0_35;0_33;1_27;0_36,7,1,1
validation,2_0_34_11_2_16.bin,3,0_34,1,1,1,0_34;1_27;0_36;1_30;1_29,0_34;1_30;0_35;1_29;0_36,0_34;1_30;0_35;1_27;0_36,0_34;1_30;0_35;1_29;0_36;1_27,6,1,1
validation,2_0_34_11_2_16.bin,10,0_34,1,1,1,0_34;1_27;0_36;1_30;1_29,0_34;1_30;0_35;1_29;0_33,0_34;1_30;1_29;0_35;1_27,0_34;1_30;0_35;1_29;0_33;1_27;0_36,7,1,1
validation,2_0_34_11_2_16.bin,12,0_34,1,1,1,0_34;1_27;0_36;1_29;1_30,0_34;1_30;0_35;1_29;0_33,0_34;1_30;0_35;1_27;0_36,0_34;1_30;0_35;1_29;0_33;1_27;0_36,7,1,1
validation,2_0_35_11_2_16.bin,4,0_35,1,1,1,0_35;1_28;1_29;1_26;1_25,0_35;0_36;1_27;1_26;1_29,0_35;0_36;1_27;1_26;1_28,0_35;0_36;1_27;1_26;1_29;1_28;1_25,7,1,1
validation,2_0_35_11_2_16.bin,6,0_35,2,1,1,1_28;0_35;1_29;0_36;1_27,0_35;0_36;1_27;0_34;1_26,0_35;0_36;1_27;1_26;0_34,0_35;0_36;1_27;0_34;1_26;1_28;1_29,7,1,1
validation,2_0_35_11_2_16.bin,10,0_35,5,1,1,0_42;1_28;1_23;0_33;0_35,0_35;0_36;1_27;0_37;1_26,0_35;0_36;1_27;0_37;1_26,0_35;0_36;1_27;0_37;1_26;0_42;1_28;1_23;0_33,9,1,1
validation,2_0_35_11_2_16.bin,19,0_35,2,1,1,1_29;0_35;1_28;0_36;1_26,0_35;0_36;1_27;0_34;0_37,0_35;0_36;1_27;0_37;1_26,0_35;0_36;1_27;0_34;0_37;1_29;1_28;1_26,8,1,1
validation,2_0_36_11_2_16.bin,4,0_36,1,1,1,0_36;1_27;0_37;1_26;1_29,0_36;1_27;0_37;1_26;0_35,0_36;1_27;0_37;1_26;0_35,0_36;1_27;0_37;1_26;0_35;1_29,6,1,1
