scenario_type,condition,severity,strength,method,target_coverage,selected_packets,actual_coverage,classification_risk,topology_mae_m,severe_error_rate
artificial_perturbation,preamble_missing,level_2,2.0,LDA,1.0,128,1.0,0.125,0.5766406250000001,0.015625
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.3,39,0.3046875,0.02564102564102564,0.08410256410256413,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.4,52,0.40625,0.019230769230769232,0.0630769230769231,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.5,64,0.5,0.015625,0.05125000000000002,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.6,77,0.6015625,0.06493506493506493,0.21870129870129876,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.7,90,0.703125,0.06666666666666667,0.2612222222222223,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.8,103,0.8046875,0.06796116504854369,0.32592233009708743,0.009708737864077669
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,0.9,116,0.90625,0.08620689655172414,0.3751724137931035,0.008620689655172414
artificial_perturbation,preamble_missing,level_2,2.0,Fixed fusion,1.0,128,1.0,0.109375,0.5492968750000001,0.015625
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.3,39,0.3046875,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.4,52,0.40625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.5,64,0.5,0.015625,0.05125000000000002,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.6,77,0.6015625,0.03896103896103896,0.13064935064935068,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.7,90,0.703125,0.05555555555555555,0.18711111111111114,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.8,103,0.8046875,0.05825242718446602,0.22825242718446606,0.0
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,0.9,116,0.90625,0.07758620689655173,0.346896551724138,0.008620689655172414
artificial_perturbation,preamble_missing,level_2,2.0,Gated ACO,1.0,128,1.0,0.1171875,0.5501562500000001,0.015625
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.3,39,0.3046875,0.02564102564102564,0.08410256410256413,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.4,52,0.40625,0.038461538461538464,0.12615384615384617,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.5,64,0.5,0.046875,0.15375,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.6,77,0.6015625,0.09090909090909091,0.34649350649350646,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.7,90,0.703125,0.1111111111111111,0.40944444444444444,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.8,103,0.8046875,0.13592233009708737,0.4872815533980583,0.0
artificial_perturbation,preamble_missing,level_3,4.0,LDA,0.9,116,0.90625,0.1896551724137931,0.7230172413793103,0.008620689655172414
artificial_perturbation,preamble_missing,level_3,4.0,LDA,1.0,128,1.0,0.234375,1.0217187500000002,0.015625
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.2,26,0.203125,0.038461538461538464,0.1261538461538462,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.3,39,0.3046875,0.02564102564102564,0.08410256410256413,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.4,52,0.40625,0.019230769230769232,0.0630769230769231,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.5,64,0.5,0.078125,0.2596875,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.6,77,0.6015625,0.1038961038961039,0.39051948051948054,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.7,90,0.703125,0.1111111111111111,0.40944444444444456,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.8,103,0.8046875,0.13592233009708737,0.5531067961165049,0.009708737864077669
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,0.9,116,0.90625,0.15517241379310345,0.636293103448276,0.008620689655172414
artificial_perturbation,preamble_missing,level_3,4.0,Fixed fusion,1.0,128,1.0,0.171875,0.7594531250000002,0.015625
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.2,26,0.203125,0.0,0.0,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.3,39,0.3046875,0.02564102564102564,0.08410256410256413,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.4,52,0.40625,0.038461538461538464,0.12615384615384617,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.5,64,0.5,0.046875,0.15375,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.6,77,0.6015625,0.09090909090909091,0.34649350649350646,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.7,90,0.703125,0.1111111111111111,0.40944444444444444,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.8,103,0.8046875,0.1262135922330097,0.45543689320388353,0.0
artificial_perturbation,preamble_missing,level_3,4.0,Gated ACO,0.9,116,0.90625,0.1810344827586207,0.6947413793103449,0.008620689655172414
