position_key,train_sources,val_sources,test_sources,train_augmented_rows
0_33,12,4,4,120
0_34,12,4,4,120
0_35,12,4,4,120
0_36,12,4,4,120
0_37,13,4,4,130
0_38,13,4,4,130
0_39,12,4,4,120
0_40,12,4,4,120
0_42,11,4,4,110
0_43,12,4,4,120
0_44,12,4,4,120
0_45,12,4,4,120
0_48,11,4,4,110
0_50,11,4,4,110
1_16,13,4,4,130
1_17,12,4,4,120
1_18,13,4,4,130
1_19,13,4,4,130
1_20,12,4,4,120
1_21,11,4,4,110
1_22,13,4,4,130
1_23,13,4,4,130
1_24,13,4,4,130
1_25,13,4,4,130
1_26,12,4,4,120
1_27,12,4,4,120
1_28,12,4,4,120
1_29,12,4,4,120
1_30,13,4,4,130
1_31,13,4,4,130
1_32,13,4,4,130
2_15,13,4,4,130
