==========Continuous Reception Mode Start==========
HDOK	PLOK	17472	1	1	-110	4	11	2	33	-117 -110 -112 -111 -112 -115 -113 -110 -115 -111 -110 -110 -112 -110 -110 -111 -111 -111 -111 -112 -111 -111 -110 -117 -112 -110 -110 -113 -113 -111 -112 -111 -110 
HDOK	PLOK	17472	2	2	-109	4	11	2	33	-110 -110 -111 -109 -113 -117 -112 -109 -111 -110 -109 -110 -111 -108 -110 -110 -111 -111 -116 -110 -109 -111 -111 -115 -110 -110 -109 -113 -110 -110 -109 -109 -109 
HDOK	PLOK	17472	3	3	-110	4	11	2	33	-115 -111 -112 -110 -111 -115 -112 -110 -113 -109 -110 -112 -112 -110 -110 -111 -112 -111 -111 -112 -110 -111 -110 -115 -110 -111 -112 -112 -113 -113 -111 -112 -110 
HDOK	PLOK	17472	4	4	-110	4	11	2	33	-110 -110 -112 -110 -111 -115 -111 -111 -117 -110 -110 -111 -113 -112 -110 -110 -111 -111 -110 -112 -115 -111 -112 -114 -111 -110 -111 -112 -112 -112 -115 -110 -110 
HDOK	PLOK	17472	5	5	-110	4	11	2	33	-113 -110 -113 -111 -113 -116 -113 -110 -113 -110 -111 -112 -111 -111 -110 -111 -111 -111 -111 -111 -111 -112 -110 -115 -111 -110 -111 -113 -111 -111 -109 -111 -111 
HDOK	PLOK	17472	6	6	-111	4	11	2	33	-109 -112 -113 -109 -110 -113 -113 -112 -113 -110 -111 -111 -117 -111 -111 -109 -112 -111 -111 -112 -109 -110 -110 -115 -110 -111 -110 -115 -115 -117 -109 -112 -112 
HDOK	PLOK	17472	7	7	-111	4	11	2	33	-113 -111 -112 -111 -113 -115 -112 -111 -117 -112 -110 -112 -112 -112 -112 -110 -112 -113 -111 -113 -111 -111 -112 -117 -111 -112 -112 -112 -112 -112 -111 -112 -111 
HDOK	PLOK	17472	8	8	-111	3	11	2	33	-110 -110 -112 -111 -111 -117 -112 -110 -115 -111 -111 -111 -112 -110 -110 -111 -111 -112 -111 -111 -111 -111 -111 -117 -111 -110 -111 -112 -112 -111 -112 -110 -110 
HDOK	PLOK	17472	9	9	-110	4	11	2	33	-115 -109 -112 -110 -115 -115 -111 -110 -112 -111 -110 -111 -111 -111 -111 -112 -112 -111 -113 -111 -111 -111 -111 -115 -112 -110 -111 -112 -113 -111 -110 -115 -110 
HDOK	PLOK	17472	10	10	-110	4	11	2	33	-110 -111 -113 -111 -112 -117 -112 -111 -115 -110 -110 -112 -112 -111 -111 -110 -112 -112 -110 -111 -110 -111 -111 -117 -112 -109 -110 -115 -115 -112 -111 -112 -109 
HDOK	PLOK	17472	11	11	-110	4	11	2	33	-113 -110 -112 -111 -111 -114 -113 -110 -116 -110 -111 -111 -117 -111 -110 -109 -110 -112 -111 -112 -110 -110 -112 -115 -110 -111 -111 -113 -113 -111 -110 -110 -109 
HDOK	PLOK	17472	12	12	-110	5	11	2	33	-111 -111 -112 -110 -110 -115 -113 -110 -116 -111 -111 -109 -113 -110 -110 -109 -111 -110 -108 -111 -109 -110 -111 -115 -110 -110 -110 -112 -115 -115 -109 -111 -110 
HDOK	PLOK	17472	13	13	-110	4	11	2	33	-117 -111 -112 -110 -112 -114 -112 -112 -113 -112 -110 -111 -111 -111 -111 -111 -111 -112 -112 -111 -111 -111 -111 -115 -109 -111 -110 -113 -112 -111 -112 -112 -111 
HDOK	PLOK	17472	14	14	-110	4	11	2	33	-110 -111 -112 -110 -112 -117 -115 -110 -115 -111 -110 -111 -112 -111 -112 -110 -111 -112 -111 -112 -110 -111 -111 -113 -111 -111 -110 -113 -112 -111 -110 -115 -110 
HDOK	PLOK	17472	15	15	-110	4	11	2	33	-115 -111 -112 -110 -112 -111 -112 -111 -112 -110 -109 -110 -111 -109 -111 -110 -111 -112 -112 -111 -110 -112 -111 -115 -110 -111 -110 -113 -110 -112 -111 -111 -110 
