==========Continuous Reception Mode Start==========
HDOK	PLOK	17472	1	1	-54	9	11	2	33	-50 -50 -52 -50 -51 -58 -52 -49 -53 -50 -50 -51 -51 -50 -51 -51 -51 -52 -55 -51 -50 -51 -50 -58 -50 -50 -49 -50 -50 -50 -50 -50 -50 
HDOK	PLOK	17472	2	2	-57	10	11	2	33	-58 -50 -51 -49 -51 -58 -51 -50 -52 -50 -51 -53 -52 -53 -53 -53 -53 -56 -64 -54 -53 -55 -53 -61 -53 -53 -53 -54 -53 -52 -52 -59 -52 
HDOK	PLOK	17472	3	3	-59	9	11	2	33	-53 -54 -57 -54 -56 -63 -56 -54 -56 -54 -54 -56 -55 -53 -55 -56 -55 -57 -65 -55 -54 -56 -54 -61 -54 -54 -54 -56 -56 -54 -55 -55 -67 
HDOK	PLOK	17472	4	4	-60	9	11	2	33	-65 -53 -59 -57 -59 -67 -59 -58 -59 -57 -57 -59 -58 -58 -59 -59 -58 -60 -70 -58 -58 -59 -57 -64 -57 -57 -57 -57 -57 -56 -55 -55 -55 
HDOK	PLOK	17472	5	5	-57	10	11	2	33	-53 -53 -57 -53 -53 -59 -56 -53 -60 -53 -52 -53 -56 -53 -53 -53 -54 -54 -53 -54 -53 -54 -53 -63 -53 -53 -53 -55 -57 -54 -53 -39 -53 
HDOK	PLOK	17472	6	6	-56	10	11	2	33	-61 -52 -57 -52 -52 -58 -55 -52 -57 -52 -51 -53 -58 -52 -52 -52 -53 -53 -52 -53 -52 -53 -53 -61 -52 -51 -52 -56 -56 -53 -53 -54 -52 
HDOK	PLOK	17472	7	7	-56	10	11	2	33	-52 -52 -54 -52 -53 -61 -54 -51 -54 -52 -51 -53 -53 -51 -52 -53 -53 -54 -61 -52 -51 -53 -52 -59 -51 -52 -51 -54 -53 -52 -53 -61 -61 
HDOK	PLOK	17472	8	8	-57	10	11	2	33	-61 -52 -54 -53 -53 -61 -55 -53 -67 -52 -52 -53 -53 -53 -53 -53 -53 -54 -54 -53 -52 -53 -53 -61 -53 -52 -52 -53 -53 -53 -52 -52 -54 
HDOK	PLOK	17472	9	9	-56	11	11	2	33	-54 -52 -55 -52 -53 -59 -55 -52 -58 -51 -52 -53 -54 -53 -53 -53 -53 -54 -54 -53 -52 -53 -53 -61 -52 -52 -52 -53 -55 -53 -52 -56 -52 
HDOK	PLOK	17472	10	10	-56	8	11	2	33	-59 -51 -51 -51 -51 -59 -53 -51 -55 -51 -51 -52 -52 -51 -51 -52 -52 -53 -60 -51 -51 -52 -51 -58 -51 -51 -51 -53 -53 -51 -51 -51 -51 
HDOK	PLOK	17472	11	11	-55	8	11	2	33	-51 -51 -52 -51 -51 -58 -53 -52 -53 -51 -51 -51 -51 -51 -51 -51 -51 -53 -60 -51 -51 -51 -51 -58 -51 -50 -52 -52 -51 -51 -52 -51 -50 
HDOK	PLOK	17472	12	12	-55	8	11	2	33	-59 -51 -52 -51 -56 -59 -52 -51 -52 -51 -51 -53 -51 -51 -51 -52 -51 -54 -55 -52 -51 -53 -51 -57 -51 -51 -52 -51 -52 -51 -51 -57 -53 
HDOK	PLOK	17472	13	13	-55	8	11	2	33	-51 -50 -51 -51 -62 -59 -52 -51 -51 -50 -50 -53 -51 -49 -51 -52 -51 -54 -52 -51 -51 -53 -51 -57 -51 -50 -51 -51 -51 -50 -50 -51 -50 
HDOK	PLOK	17472	14	14	-58	10	11	2	33	-63 -54 -57 -54 -53 -60 -57 -54 -65 -53 -54 -55 -56 -54 -54 -54 -55 -56 -55 -53 -53 -55 -54 -63 -54 -53 -54 -57 -55 -54 -53 -53 -53 
HDOK	PLOK	17472	15	15	-59	9	11	2	33	-54 -54 -55 -54 -59 -63 -56 -54 -55 -54 -54 -56 -54 -53 -55 -55 -55 -57 -61 -55 -54 -56 -55 -61 -54 -54 -54 -56 -56 -55 -54 -54 -54 
HDOK	PLOK	17472	16	16	-57	9	11	2	33	-63 -54 -58 -53 -53 -61 -57 -54 -67 -55 -54 -55 -56 -54 -54 -54 -55 -56 -56 -55 -53 -55 -54 -63 -54 -54 -53 -55 -55 -54 -53 -54 -54 
HDOK	PLOK	17472	17	17	-58	9	11	2	33	-53 -53 -56 -54 -63 -63 -55 -54 -55 -54 -54 -56 -54 -53 -55 -55 -54 -58 -60 -54 -54 -57 -53 -59 -54 -54 -54 -54 -55 -54 -54 -61 -57 
HDOK	PLOK	17472	18	18	-59	9	11	2	33	-63 -53 -56 -54 -65 -62 -56 -54 -55 -54 -54 -56 -54 -54 -55 -55 -54 -58 -56 -54 -54 -57 -54 -59 -54 -54 -54 -55 -55 -54 -54 -54 -54 
HDOK	PLOK	17472	19	19	-57	10	11	2	33	-53 -53 -57 -53 -53 -59 -56 -53 -65 -54 -53 -55 -55 -54 -54 -54 -55 -56 -57 -54 -53 -55 -53 -63 -53 -53 -53 -55 -53 -53 -53 -53 -53 
HDOK	PLOK	17472	20	20	-58	9	11	2	33	-63 -53 -58 -54 -54 -61 -57 -54 -70 -53 -54 -55 -56 -54 -54 -54 -55 -56 -56 -55 -54 -56 -54 -63 -54 -54 -54 -54 -56 -54 -54 -57 -54 
HDOK	PLOK	17472	21	21	-58	9	11	2	33	-54 -54 -57 -54 -56 -63 -56 -54 -56 -53 -53 -56 -54 -53 -54 -55 -54 -57 -63 -54 -53 -56 -54 -59 -54 -54 -55 -55 -55 -55 -55 -55 -57 
HDOK	PLOK	17472	22	22	-57	10	11	2	33	-63 -54 -56 -54 -57 -63 -56 -54 -57 -55 -55 -56 -54 -54 -55 -55 -54 -57 -63 -53 -53 -54 -53 -59 -52 -53 -52 -54 -53 -53 -53 -53 -53 
HDOK	PLOK	17472	23	23	-59	9	11	2	33	-55 -55 -59 -56 -56 -62 -58 -54 -67 -55 -54 -55 -56 -55 -55 -56 -56 -57 -58 -56 -55 -57 -55 -64 -54 -54 -53 -56 -56 -53 -53 -53 -54 
HDOK	PLOK	17472	24	24	-58	9	11	2	33	-63 -54 -56 -54 -58 -64 -56 -54 -56 -54 -54 -56 -54 -54 -55 -56 -54 -57 -58 -54 -54 -57 -54 -59 -54 -53 -54 -54 -55 -53 -54 -54 -54 
HDOK	PLOK	17472	25	25	-58	9	11	2	33	-54 -54 -56 -54 -55 -62 -57 -53 -59 -53 -54 -55 -55 -54 -55 -55 -55 -57 -59 -55 -54 -56 -54 -63 -53 -54 -54 -55 -55 -54 -55 -54 -54 
HDOK	PLOK	17472	26	26	-58	9	11	2	33	-63 -54 -56 -54 -55 -62 -56 -54 -58 -54 -54 -56 -54 -54 -55 -55 -55 -57 -67 -54 -54 -56 -54 -61 -54 -54 -54 -56 -55 -55 -54 -63 -61 
HDOK	PLOK	17472	27	27	-59	10	11	2	33	-54 -54 -56 -54 -55 -62 -57 -54 -59 -54 -54 -55 -55 -54 -54 -55 -55 -57 -64 -54 -54 -56 -54 -63 -54 -54 -54 -56 -56 -54 -54 -55 -53 
HDOK	PLOK	17472	28	28	-57	9	11	2	33	-62 -54 -55 -53 -56 -63 -56 -54 -56 -54 -54 -56 -54 -54 -54 -55 -54 -57 -71 -54 -54 -56 -54 -61 -53 -54 -54 -54 -55 -54 -54 -54 -54 
HDOK	PLOK	17472	29	29	-57	10	11	2	33	-53 -53 -56 -53 -53 -61 -56 -53 -69 -53 -53 -54 -55 -53 -53 -54 -54 -55 -56 -54 -53 -54 -53 -63 -53 -53 -54 -54 -56 -53 -53 -64 -53 
HDOK	PLOK	17472	30	30	-58	9	11	2	33	-63 -53 -55 -53 -53 -61 -56 -53 -65 -53 -53 -54 -54 -53 -53 -54 -54 -56 -56 -54 -53 -54 -53 -63 -53 -53 -53 -56 -56 -53 -55 -54 -54 
HDOK	PLOK	17472	31	31	-57	10	11	2	33	-53 -53 -54 -53 -50 -63 -54 -52 -54 -52 -52 -54 -53 -53 -53 -53 -53 -55 -63 -53 -53 -55 -53 -61 -53 -53 -53 -55 -53 -53 -53 -61 -52 
HDOK	PLOK	17472	32	32	-57	10	11	2	33	-63 -53 -56 -53 -53 -53 -56 -53 -65 -53 -53 -54 -54 -53 -53 -53 -53 -55 -56 -53 -53 -54 -53 -63 -53 -53 -53 -56 -54 -53 -53 -53 -53 
HDOK	PLOK	17472	33	33	-57	10	11	2	33	-53 -53 -57 -53 -53 -53 -56 -53 -70 -52 -53 -54 -54 -53 -53 -53 -53 -55 -51 -53 -53 -54 -53 -61 -53 -53 -53 -55 -55 -53 -53 -65 -53 
HDOK	PLOK	17472	34	34	-58	10	11	2	33	-63 -53 -55 -53 -59 -53 -55 -53 -54 -53 -53 -55 -53 -53 -54 -54 -53 -56 -65 -53 -53 -55 -53 -61 -53 -53 -53 -54 -55 -53 -53 -54 -53 
HDOK	PLOK	17472	35	35	-57	10	11	2	33	-53 -53 -55 -53 -60 -53 -55 -53 -54 -53 -53 -55 -53 -53 -54 -54 -53 -57 -59 -53 -53 -55 -53 -59 -53 -53 -53 -53 -53 -53 -53 -61 -53 
HDOK	PLOK	17472	36	36	-58	10	11	2	33	-63 -53 -57 -53 -53 -53 -57 -53 -63 -54 -53 -54 -57 -53 -53 -53 -55 -55 -53 -54 -53 -54 -54 -62 -53 -53 -53 -57 -57 -54 -53 -56 -53 
HDOK	PLOK	17472	37	37	-57	10	11	2	33	-53 -53 -55 -53 -63 -53 -55 -53 -54 -53 -53 -56 -53 -53 -54 -55 -54 -57 -59 -53 -53 -56 -53 -59 -53 -53 -53 -55 -54 -54 -53 -53 -53 
HDOK	PLOK	17472	38	38	-57	10	11	2	33	-63 -53 -55 -53 -59 -53 -55 -53 -54 -53 -53 -55 -53 -53 -54 -55 -54 -57 -61 -53 -53 -55 -53 -61 -53 -54 -53 -54 -54 -53 -54 -63 -53 
HDOK	PLOK	17472	39	39	-58	9	11	2	33	-53 -54 -56 -53 -53 -53 -56 -53 -57 -53 -53 -55 -54 -53 -54 -54 -54 -56 -59 -54 -53 -55 -53 -63 -53 -53 -53 -54 -56 -53 -54 -54 -53 
HDOK	PLOK	17472	40	40	-57	10	11	2	33	-63 -53 -56 -53 -53 -53 -56 -53 -65 -53 -53 -54 -55 -53 -53 -54 -54 -55 -55 -54 -53 -54 -53 -63 -53 -53 -55 -56 -56 -53 -53 -57 -53 
HDOK	PLOK	17472	41	41	-58	10	11	2	33	-53 -54 -56 -54 -54 -54 -57 -53 -61 -53 -53 -55 -56 -54 -54 -54 -55 -56 -56 -54 -54 -55 -54 -64 -54 -53 -54 -57 -55 -54 -54 -54 -54 
HDOK	PLOK	17472	42	42	-59	9	11	2	33	-63 -55 -57 -55 -55 -54 -58 -55 -70 -55 -55 -56 -57 -55 -55 -55 -56 -57 -56 -56 -55 -56 -55 -64 -55 -55 -55 -56 -56 -55 -57 -55 -55 
HDOK	PLOK	17472	43	43	-59	9	11	2	33	-53 -54 -56 -54 -53 -53 -57 -53 -59 -53 -54 -55 -56 -53 -54 -54 -55 -55 -55 -54 -53 -54 -53 -61 -53 -53 -53 -55 -57 -54 -54 -54 -55 
HDOK	PLOK	17472	44	44	-57	10	11	2	33	-63 -53 -56 -53 -53 -53 -57 -53 -62 -53 -53 -54 -57 -54 -54 -54 -55 -55 -53 -54 -53 -54 -53 -63 -53 -53 -53 -57 -55 -53 -54 -53 -53 
HDOK	PLOK	17472	45	45	-57	10	11	2	33	-53 -53 -56 -53 -53 -53 -57 -53 -60 -53 -53 -54 -58 -53 -54 -54 -55 -55 -54 -54 -53 -54 -54 -63 -53 -53 -53 -57 -57 -54 -55 -57 -53 
