method,split,packet_count,location_count,top_k,segment_count,rssi_class_k,rssi_top1_correct,rssi_top1_accuracy,rssi_topk_contains_true,rssi_topk_recall,aco_path_mode_correct,aco_path_mode_accuracy,aco_pheromone_correct,aco_pheromone_accuracy,aco_vote_correct,aco_vote_accuracy,garbage_state_usage_mean,q4_reliable_segment_count,segment_count_total,q4_reliable_segment_rate,peak_threshold,q4_dev_threshold,q4_peak_offset_max,q4_peak_to_side_threshold
aco_v2,train_loocv,2230,32,3,4,3,1869,0.8381165919282512,2193,0.9834080717488789,2053,0.920627802690583,2053,0.920627802690583,2052,0.9201793721973094,0.0,6074,8920,0.6809417040358744,10.647781724420001,3.3621159659996667,0.5,6.0
aco_v2,val,73,29,3,4,3,51,0.6986301369863014,65,0.8904109589041096,57,0.7808219178082192,57,0.7808219178082192,57,0.7808219178082192,0.0,218,292,0.7465753424657534,10.647781724420001,3.3621159659996667,0.5,6.0
aco_v2,test,74,30,3,4,3,50,0.6756756756756757,67,0.9054054054054054,63,0.8513513513513513,63,0.8513513513513513,63,0.8513513513513513,0.0,223,296,0.7533783783783784,10.647781724420001,3.3621159659996667,0.5,6.0
