scope,source_csv,query_file,query_packet_index,true_location,predicted_location,reference_location,plot_index,rssi_plus_distance,posterior_probability,rank,is_top_k,is_true_location,is_rssi_plus_prediction,temperature_T,feature_columns
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,0,1,3.9045220350605168,2.098468541559628e-06,50,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,1,2,3.8542537136896464,2.4651144042819193e-06,49,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,2,3,3.7822162208533046,3.1049709555490697e-06,47,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,3,4,3.567844475619175,6.170170655346124e-06,40,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,4,5,3.7471164859900004,3.4744752329496127e-06,45,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,5,6,3.6633438052854816,4.543975553697193e-06,44,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,6,7,3.541055899374741,6.723047052787665e-06,39,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,7,8,3.605143596288398,5.475271436134622e-06,42,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,8,9,3.7700462170965947,3.228410660521956e-06,46,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,9,10,3.6576417954951164,4.627738101407467e-06,43,False,False,False,0.3121666453640741,snr;realtime_average_rssi;median_rssi;mode_rssi;rssi_variance;residual
