scope,source_csv,query_file,query_packet_index,true_location,predicted_location,temperature_T,reference_location_count,top_k,top_k_locations,top_k_probabilities
54points,v2_output/20260623_from_raw/data_processing/rssi_plus_packet_level_54points.csv,2_1_23_11_2_16.txt,16,23,38,0.3121666453640741,54,5,38;24;21;23;41,0.19194156;0.14640396;0.10048858;0.09539027;0.05862899
28points,v2_output/20260623_from_raw/step1_rssi_confusion_28packet_shared_pl_01/01_paired_packet_features_28points.csv,2_1_23_11_2_16.txt,16,23,23,0.5279073461706407,28,5,23;43;21;37;26,0.13897195;0.13769646;0.09972202;0.07844151;0.06796752
