bar_order,bar_label,reference_location,posterior_probability,rank,is_other,is_top_k,is_true_location,is_rssi_plus_prediction,true_location,predicted_location,top_k_mass,others_mass,candidate_count
1,23,23,0.13897194681029376,1,False,True,True,True,23,23,0.5227994588330849,0.30567596701741484,28
2,43,43,0.1376964601711552,2,False,True,False,False,23,23,0.5227994588330849,0.30567596701741484,28
3,21,21,0.09972202331621943,3,False,True,False,False,23,23,0.5227994588330849,0.30567596701741484,28
4,37,37,0.0784415115522289,4,False,True,False,False,23,23,0.5227994588330849,0.30567596701741484,28
5,26,26,0.06796751698318752,5,False,True,False,False,23,23,0.5227994588330849,0.30567596701741484,28
6,25,25,0.061158201800163764,6,False,False,False,False,23,23,0.5227994588330849,0.30567596701741484,28
7,40,40,0.05899663275619475,7,False,False,False,False,23,23,0.5227994588330849,0.30567596701741484,28
8,22,22,0.051369739593141873,8,False,False,False,False,23,23,0.5227994588330849,0.30567596701741484,28
9,Others,,0.30567596701741484,,True,False,False,False,23,23,0.5227994588330849,0.30567596701741484,28
