method,split,packet_count,location_count,top_k,segment_count,rssi_class_k,T_seg,lambda_R,lambda_W,lambda_V,lambda_Q,rssi_top1_correct,rssi_top1_accuracy,rssi_topk_contains_true,rssi_topk_recall,aco_path_mode_correct,aco_path_mode_accuracy,aco_pheromone_correct,aco_pheromone_accuracy,aco_vote_correct,aco_vote_accuracy,aco_score4_correct,aco_score4_accuracy,score4_change_count_from_vote,score4_W2R_from_vote,score4_R2W_from_vote,score4_net_from_vote,garbage_state_usage_mean,q4_reliable_segment_count,segment_count_total,q4_reliable_segment_rate,Q_seg_mean,segment_cost_std_mean,peak_threshold,q4_dev_threshold,q4_peak_offset_max,q4_peak_to_side_threshold,aco_v4_change_count_vs_aco_v2,aco_v4_W2R_vs_aco_v2,aco_v4_R2W_vs_aco_v2,aco_v4_net_vs_aco_v2
aco_v4,train_loocv,2960,32,5,4,3,0.02403918092026683,0.2,0.1,0.5,1.0,2434,0.8222972972972973,2951,0.9969594594594594,2697,0.9111486486486486,2697,0.9111486486486486,2697,0.9111486486486486,2697,0.9111486486486486,0,0,0,0,0.0,8000,11840,0.6756756756756757,0.8455318270743224,0.005978382702402428,10.441499059794655,3.383904582800199,0.5,6.0,1906,1695,1,1694
aco_v4,val,73,29,5,4,3,0.02403918092026683,0.2,0.1,0.5,1.0,64,0.8767123287671232,73,1.0,70,0.958904109589041,70,0.958904109589041,70,0.958904109589041,70,0.958904109589041,0,0,0,0,0.0,219,292,0.75,0.9177333793112749,0.002436510212981242,10.441499059794655,3.383904582800199,0.5,6.0,1,1,0,1
aco_v4,test,74,30,5,4,3,0.02403918092026683,0.2,0.1,0.5,1.0,55,0.7432432432432432,69,0.9324324324324325,67,0.9054054054054054,67,0.9054054054054054,67,0.9054054054054054,67,0.9054054054054054,0,0,0,0,0.0,228,296,0.7702702702702703,0.9242487547338162,0.0022134184556740735,10.441499059794655,3.383904582800199,0.5,6.0,3,3,0,3
