scenario_type,condition,severity,strength,method,method_label,packets,candidate_recall,search_correct,search_accuracy,search_topology_mae_m,search_topology_p95_m,final_correct,final_accuracy,final_topology_mae_m,final_topology_p95_m,severe_error_rate,prediction_changes_vs_lda,beneficial_corrections,harmful_corrections,changed_but_still_wrong,correction_precision,mean_search_runtime_ms,p95_search_runtime_ms,mean_path_switches,mean_garbage_segments
artificial_perturbation,amplitude_noise,strength_0.5,0.5,full_aco,Full ACO,128,0.8046875,56,0.4375,4.444218749999998,16.9115,52,0.40625,4.549296874999998,16.9115,0.203125,28,11,2,15,0.39285714285714285,4.67775782812535,4.816975549996627,0.0,0.0
artificial_perturbation,amplitude_noise,strength_1,1.0,average_cost,Average cost,128,0.5390625,27,0.2109375,10.265624999999995,25.900499999999976,22,0.171875,10.868749999999997,27.081500000000002,0.5234375,13,1,0,12,0.07692307692307693,0.0012178359373171688,0.001652300007748408,,
artificial_perturbation,amplitude_noise,strength_1,1.0,greedy_path,Greedy path,128,0.5390625,27,0.2109375,10.316015624999995,25.900499999999976,23,0.1796875,10.868749999999993,27.01,0.5234375,19,2,0,17,0.10526315789473684,0.08005210937434004,0.10141884999868012,0.0,0.0
artificial_perturbation,amplitude_noise,strength_1,1.0,no_pheromone,No pheromone,128,0.5390625,27,0.2109375,10.238281249999996,23.840000000000003,22,0.171875,11.026796874999997,27.01,0.5390625,13,1,0,12,0.07692307692307693,4.5064251953123025,4.622837500000543,0.0,0.0
artificial_perturbation,amplitude_noise,strength_1,1.0,full_aco,Full ACO,128,0.5390625,27,0.2109375,10.316874999999994,25.900499999999976,23,0.1796875,10.710703124999993,27.01,0.5234375,21,2,0,19,0.09523809523809523,4.6673313984377796,4.846525100011689,0.0,0.0
artificial_perturbation,cfo_shift,strength_0.25,0.25,average_cost,Average cost,128,1.0,112,0.875,0.5766406250000001,3.3900000000000006,117,0.9140625,0.3938281250000001,3.3900000000000006,0.0078125,2,1,0,1,0.5,0.0013170546876439815,0.001499999996212864,,
artificial_perturbation,cfo_shift,strength_0.25,0.25,greedy_path,Greedy path,128,1.0,113,0.8828125,0.5245312500000001,3.3900000000000006,115,0.8984375,0.4724218750000001,3.3900000000000006,0.0078125,6,2,3,1,0.3333333333333333,0.07879941406196966,0.0966437499975825,0.0,0.0
artificial_perturbation,cfo_shift,strength_0.25,0.25,no_pheromone,No pheromone,128,1.0,114,0.890625,0.4980468750000001,3.3900000000000006,117,0.9140625,0.3938281250000001,3.3900000000000006,0.0078125,2,1,0,1,0.5,4.481589851562218,4.612616649993129,0.0,0.0
artificial_perturbation,cfo_shift,strength_0.25,0.25,full_aco,Full ACO,128,1.0,112,0.875,0.5766406250000001,3.3900000000000006,113,0.8828125,0.5501562500000001,3.3900000000000006,0.0078125,6,1,4,1,0.16666666666666666,4.668655929686905,4.796885299992937,0.0,0.0
artificial_perturbation,cfo_shift,strength_0.5,0.5,average_cost,Average cost,128,0.9921875,110,0.859375,0.603984375,3.3900000000000006,109,0.8515625,0.6817187500000002,3.3900000000000006,0.0078125,3,2,0,1,0.6666666666666666,0.0012665859367988475,0.0016249999958972694,,
